TrueCount,HandsPlayed,TotalPayout,EV,StdError
-9.5,1,2.000000,2.000000,0.000000
-9.0,1,1.000000,1.000000,0.000000
-8.5,6,0.000000,-0.000000,0.577350
-8.0,16,-16.000000,-1.000000,0.197642
-7.5,34,-9.500000,-0.279412,0.182722
-7.0,108,-23.000000,-0.212963,0.116976
-6.5,264,-50.000000,-0.189394,0.072321
-6.0,712,-68.000000,-0.095506,0.044470
-5.5,1913,-179.000000,-0.093570,0.027214
-5.0,4944,-354.000000,-0.071602,0.016739
-4.5,12223,-925.500000,-0.075718,0.010643
-4.0,33058,-1531.500000,-0.046328,0.006437
-3.5,83886,-4475.000000,-0.053346,0.004029
-3.0,197571,-8838.500000,-0.044736,0.002613
-2.5,495768,-18316.000000,-0.036945,0.001641
-2.0,1209301,-37633.000000,-0.031120,0.001046
-1.5,3258063,-78081.000000,-0.023965,0.000633
-1.0,8108201,-146269.500000,-0.018040,0.000400
-0.5,16220051,-247186.000000,-0.015240,0.000282
0.0,62847061,-375607.500000,-0.005977,0.000142
0.5,28244256,-331458.000000,-0.011735,0.000213
1.0,29636974,-271906.000000,-0.009175,0.000207
1.5,27683571,-244189.500000,-0.008821,0.000215
2.0,27091395,-234171.500000,-0.008644,0.000217
2.5,24096550,-180700.500000,-0.007499,0.000230
3.0,22818295,-179509.500000,-0.007867,0.000237
3.5,22236369,-161249.000000,-0.007252,0.000240
4.0,21178405,-149756.500000,-0.007071,0.000246
4.5,19255019,-145990.000000,-0.007582,0.000258
5.0,18676877,-118799.500000,-0.006361,0.000262
5.5,18051145,-116092.500000,-0.006431,0.000266
6.0,16694079,-109718.500000,-0.006572,0.000277
6.5,15802918,-100697.500000,-0.006372,0.000284
7.0,15385410,-96209.000000,-0.006253,0.000288
7.5,14109372,-82449.000000,-0.005844,0.000301
8.0,13880128,-81892.500000,-0.005900,0.000303
8.5,13041493,-80603.500000,-0.006181,0.000313
9.0,12738401,-65916.000000,-0.005175,0.000316
9.5,11988525,-53738.500000,-0.004482,0.000326
10.0,11864200,-54530.500000,-0.004596,0.000328
10.5,10898621,-63033.000000,-0.005784,0.000342
11.0,10592675,-54772.500000,-0.005171,0.000347
11.5,10231238,-38563.500000,-0.003769,0.000353
12.0,9793648,-39190.500000,-0.004002,0.000361
12.5,9665848,-58685.000000,-0.006071,0.000364
