TrueCount,HandsPlayed,TotalPayout,EV,StdError
-9.5,1,1.500000,1.500000,0.000000
-9.0,2,-2.000000,-1.000000,0.000000
-7.5,3,1.000000,0.333333,0.544331
-7.0,5,1.000000,0.200000,0.438178
-6.5,11,-4.000000,-0.363636,0.321996
-6.0,56,1.500000,0.026786,0.149094
-5.5,171,11.500000,0.067251,0.087324
-5.0,636,17.500000,0.027516,0.044881
-4.5,2296,-61.500000,-0.026786,0.024135
-4.0,8362,-193.500000,-0.023140,0.012382
-3.5,28857,-440.000000,-0.015248,0.006782
-3.0,99787,-1297.500000,-0.013003,0.003641
-2.5,356688,-6645.000000,-0.018630,0.001920
-2.0,1130847,-15367.500000,-0.013589,0.001077
-1.5,3801370,-41379.000000,-0.010885,0.000586
-1.0,12777750,-125018.000000,-0.009784,0.000319
-0.5,35104064,-303935.500000,-0.008658,0.000192
0.0,222700252,-1223101.500000,-0.005492,0.000076
0.5,98858332,-668376.000000,-0.006761,0.000115
1.0,105580743,-646262.000000,-0.006121,0.000111
1.5,103548276,-668057.500000,-0.006452,0.000112
2.0,104850630,-679583.000000,-0.006481,0.000111
2.5,103711161,-625879.000000,-0.006035,0.000112
3.0,100208246,-617208.500000,-0.006159,0.000114
3.5,97922526,-593619.000000,-0.006062,0.000115
4.0,96116878,-590680.000000,-0.006145,0.000116
4.5,94016809,-573584.500000,-0.006101,0.000117
5.0,90475948,-556843.500000,-0.006155,0.000120
5.5,88273829,-518579.000000,-0.005875,0.000121
6.0,88363552,-536096.000000,-0.006067,0.000121
6.5,84947243,-488076.000000,-0.005746,0.000123
7.0,82653064,-487579.500000,-0.005899,0.000125
7.5,82059529,-490697.500000,-0.005980,0.000126
8.0,79102695,-455429.500000,-0.005757,0.000128
8.5,78678279,-461319.500000,-0.005863,0.000128
9.0,75923191,-426731.000000,-0.005621,0.000131
9.5,73741533,-416476.500000,-0.005648,0.000133
10.0,73572215,-391306.000000,-0.005319,0.000133
10.5,71302350,-395063.500000,-0.005541,0.000135
11.0,70606851,-379765.500000,-0.005379,0.000135
11.5,68650109,-386829.000000,-0.005635,0.000137
12.0,67487571,-366988.000000,-0.005438,0.000139
12.5,65223499,-346595.000000,-0.005314,0.000141
13.0,65000480,-359884.500000,-0.005537,0.000141
13.5,63031545,-330754.500000,-0.005247,0.000143
14.0,62478730,-350852.000000,-0.005616,0.000144
14.5,60164829,-330424.500000,-0.005492,0.000147
15.0,60078322,-311771.000000,-0.005189,0.000147
15.5,58722604,-321937.000000,-0.005482,0.000148
16.0,57043664,-301235.000000,-0.005281,0.000151
16.5,57015682,-314924.000000,-0.005523,0.000151
17.0,55030385,-319825.500000,-0.005812,0.000153
17.5,54978480,-254205.000000,-0.004624,0.000153
18.0,53370719,-281937.000000,-0.005283,0.000156
18.5,52468781,-257915.500000,-0.004916,0.000157
19.0,51668045,-276333.500000,-0.005348,0.000158
19.5,50554709,-245847.500000,-0.004863,0.000160
20.0,49608553,-242441.000000,-0.004887,0.000161
20.5,50179437,-256667.500000,-0.005115,0.000161
21.0,47045738,-215727.500000,-0.004585,0.000166
21.5,46864160,-234020.500000,-0.004994,0.000166
22.0,47474140,-245181.500000,-0.005165,0.000165
22.5,43855604,-193630.500000,-0.004415,0.000172
23.0,45232591,-222135.500000,-0.004911,0.000169
23.5,43780369,-208362.500000,-0.004759,0.000172
24.0,43520331,-190114.500000,-0.004368,0.000172
24.5,41953649,-183448.000000,-0.004373,0.000176
25.0,40978949,-181557.000000,-0.004430,0.000178
25.5,42948435,-167358.000000,-0.003897,0.000173
26.0,34363458,-145787.500000,-0.004243,0.000194
26.5,40987512,-138255.000000,-0.003373,0.000177
27.0,37401969,-136341.500000,-0.003645,0.000186
27.5,36521542,-125708.500000,-0.003442,0.000188
28.0,36217131,-104370.000000,-0.002882,0.000189
28.5,34473543,-79676.000000,-0.002311,0.000193
29.0,33218995,-86592.000000,-0.002607,0.000197
29.5,32140762,-76091.000000,-0.002367,0.000200
30.0,32131709,-46046.500000,-0.001433,0.000200
30.5,30136130,-38792.500000,-0.001287,0.000207
31.0,28022891,-26789.500000,-0.000956,0.000214
31.5,28703694,1691.000000,0.000059,0.000212
32.0,26204281,7882.500000,0.000301,0.000221
32.5,25069243,20284.500000,0.000809,0.000226
33.0,23785056,29001.000000,0.001219,0.000232
33.5,22032784,32083.500000,0.001456,0.000241
34.0,21120361,41412.000000,0.001961,0.000246
34.5,18085408,56755.500000,0.003138,0.000266
35.0,19415717,69086.500000,0.003558,0.000256
35.5,16204064,68098.500000,0.004203,0.000281
36.0,16048417,74836.000000,0.004663,0.000282
36.5,13881556,79750.000000,0.005745,0.000303
37.0,13129500,74513.500000,0.005675,0.000312
37.5,11166099,76279.000000,0.006831,0.000338
38.0,10674148,82079.500000,0.007690,0.000346
38.5,8798744,73200.500000,0.008319,0.000380
39.0,9495669,84072.500000,0.008854,0.000366
39.5,7109474,67738.000000,0.009528,0.000423
40.0,6379478,67546.500000,0.010588,0.000446
40.5,5594076,65093.500000,0.011636,0.000476
41.0,4874739,59182.500000,0.012141,0.000509
41.5,4261579,56986.000000,0.013372,0.000544
42.0,3466697,47842.000000,0.013800,0.000603
42.5,3182765,44345.500000,0.013933,0.000629
43.0,2589983,35929.500000,0.013872,0.000697
43.5,2075181,33372.000000,0.016081,0.000778
44.0,1916407,30160.500000,0.015738,0.000809
44.5,1371141,24984.500000,0.018222,0.000956
45.0,1284926,24097.500000,0.018754,0.000986
45.5,1036264,20255.500000,0.019547,0.001098
46.0,764240,14912.000000,0.019512,0.001278
