TrueCount,HandsPlayed,TotalPayout,EV,StdError
-9.0,3,-3.000000,-1.000000,0.000000
-8.5,18,4.000000,0.222222,0.309874
-8.0,35,-3.000000,-0.085714,0.215222
-7.5,102,-10.000000,-0.098039,0.121077
-7.0,268,-28.500000,-0.106343,0.073850
-6.5,812,-43.000000,-0.052956,0.041338
-6.0,2043,-265.500000,-0.129956,0.026123
-5.5,5663,-493.000000,-0.087056,0.015926
-5.0,14730,-1050.500000,-0.071317,0.009738
-4.5,36452,-2169.000000,-0.059503,0.006169
-4.0,98903,-5948.500000,-0.060145,0.003724
-3.5,250232,-11627.000000,-0.046465,0.002328
-3.0,592455,-25009.000000,-0.042212,0.001508
-2.5,1489745,-53169.500000,-0.035690,0.000946
-2.0,3638878,-102279.500000,-0.028107,0.000602
-1.5,9777128,-203042.500000,-0.020767,0.000365
-1.0,24346662,-391506.500000,-0.016081,0.000231
-0.5,48800632,-639399.000000,-0.013102,0.000162
0.0,188667198,-716235.500000,-0.003796,0.000082
0.5,85179673,-809210.000000,-0.009500,0.000123
1.0,89394451,-622609.500000,-0.006965,0.000119
1.5,83443283,-551372.000000,-0.006608,0.000124
2.0,81625159,-520868.000000,-0.006381,0.000125
2.5,72465202,-426177.000000,-0.005881,0.000133
3.0,68804547,-401229.000000,-0.005831,0.000136
3.5,66948458,-364641.500000,-0.005447,0.000138
4.0,63752830,-311070.500000,-0.004879,0.000142
4.5,58059815,-314004.000000,-0.005408,0.000148
5.0,56069014,-241412.000000,-0.004306,0.000151
5.5,54528760,-233576.000000,-0.004284,0.000153
6.0,50201356,-207954.500000,-0.004142,0.000159
6.5,47542854,-211264.000000,-0.004444,0.000164
7.0,46301804,-167320.000000,-0.003614,0.000166
7.5,42458812,-149678.000000,-0.003525,0.000173
8.0,41734695,-130652.000000,-0.003131,0.000175
8.5,39207629,-123508.500000,-0.003150,0.000180
9.0,38290635,-101094.500000,-0.002640,0.000182
9.5,35970975,-87007.500000,-0.002419,0.000188
10.0,35534479,-73555.000000,-0.002070,0.000189
10.5,32645829,-93782.000000,-0.002873,0.000198
11.0,31594246,-55590.000000,-0.001759,0.000201
11.5,30463530,-14785.000000,-0.000485,0.000204
12.0,29051652,-25263.500000,-0.000870,0.000209
12.5,28509490,-77521.500000,-0.002719,0.000212
13.0,24694122,130318.000000,0.005277,0.000226
13.5,26611938,-55564.000000,-0.002088,0.000219
14.0,24842088,30809.000000,0.001240,0.000226
14.5,22630063,60660.000000,0.002681,0.000236
15.0,22424843,50624.000000,0.002257,0.000238
15.5,22410654,49872.500000,0.002225,0.000238
16.0,17913686,99294.500000,0.005543,0.000265
16.5,19898281,102773.000000,0.005165,0.000252
17.0,18217541,124374.000000,0.006827,0.000263
17.5,17267735,137851.500000,0.007986,0.000270
18.0,15519432,134947.000000,0.008705,0.000285
18.5,16544481,168980.000000,0.010249,0.000276
19.0,14198059,180110.500000,0.012775,0.000298
19.5,12140013,183593.000000,0.015303,0.000322
20.0,12217745,243387.000000,0.020297,0.000320
20.5,11786284,238295.000000,0.020744,0.000327
21.0,10699705,264392.500000,0.025539,0.000343
21.5,7954052,255074.000000,0.033296,0.000396
22.0,10134773,296780.500000,0.030597,0.000352
22.5,7791917,260951.000000,0.035192,0.000400
23.0,6633659,259184.500000,0.041073,0.000432
23.5,6801956,278746.000000,0.043130,0.000426
24.0,7034155,283505.500000,0.042505,0.000419
24.5,5423636,224283.500000,0.043556,0.000477
25.0,1512331,91190.500000,0.063544,0.000887
25.5,5413882,251727.000000,0.048979,0.000475
26.0,4559721,225714.500000,0.052083,0.000516
26.5,3796352,194474.500000,0.053908,0.000564
27.0,492659,33735.500000,0.071950,0.001539
27.5,2695613,142342.000000,0.055535,0.000669
28.0,2455813,142472.000000,0.061021,0.000698
28.5,1391871,88925.500000,0.067334,0.000921
29.0,885669,54639.000000,0.064875,0.001157
29.5,1393673,87127.500000,0.065794,0.000921
30.0,1127487,74458.000000,0.069485,0.001021
30.5,350791,26392.500000,0.079095,0.001815
31.0,684052,47646.500000,0.073200,0.001307
31.5,573733,41676.000000,0.076396,0.001423
32.0,269488,20423.500000,0.079719,0.002064
32.5,298784,22967.500000,0.080752,0.001963
33.0,271897,20611.000000,0.079641,0.002055
33.5,219377,16317.500000,0.078194,0.002284
34.0,94479,7738.500000,0.086057,0.003448
34.5,102873,8550.500000,0.086963,0.003319
35.0,91307,7862.000000,0.090204,0.003517
35.5,35133,3192.000000,0.094971,0.005624
36.0,48145,4127.500000,0.089748,0.004820
36.5,44296,4208.000000,0.099938,0.005008
37.0,26757,2394.500000,0.093826,0.006416
37.5,9348,860.500000,0.096658,0.010857
38.0,12094,1219.500000,0.106004,0.009501
38.5,11544,1195.500000,0.108503,0.009725
39.0,2173,226.500000,0.108287,0.022010
39.5,5818,506.500000,0.090025,0.013664
40.0,2694,250.000000,0.097615,0.020095
40.5,917,55.000000,0.067348,0.034479
41.0,1810,247.500000,0.141330,0.024459
41.5,1115,102.500000,0.092335,0.030892
42.0,514,38.500000,0.076327,0.044920
42.5,154,25.500000,0.170694,0.081755
43.0,316,49.500000,0.161616,0.056760
43.5,143,24.000000,0.181400,0.087876
44.0,33,1.500000,0.049944,0.174914
44.5,91,0.500000,0.006399,0.102327
45.0,36,1.000000,0.029040,0.168244
45.5,23,3.500000,0.201863,0.253885
46.0,2,-1.000000,-0.500000,0.353553
46.5,9,-4.500000,-0.500000,0.351364
47.0,4,-4.000000,-1.000000,0.000000
48.0,2,0.000000,0.000000,0.707107
