TrueCount,HandsPlayed,TotalPayout,EV,StdError
-43.0,1,-2.000000,-2.000000,0.000000
-39.5,2,0.000000,0.000000,0.707107
-38.0,1,2.000000,2.000000,0.000000
-37.5,3,-2.000000,-0.666667,0.720082
-37.0,2,-1.000000,-0.500000,1.060660
-36.5,2,-2.000000,-1.000000,0.000000
-36.0,10,2.500000,0.250000,0.355317
-35.5,2,2.000000,1.000000,0.707107
-35.0,7,1.500000,0.214286,0.402253
-34.5,9,-1.000000,-0.111111,0.428735
-34.0,18,-1.000000,-0.055556,0.266113
-33.5,15,3.000000,0.200000,0.301109
-33.0,40,-1.500000,-0.037500,0.192344
-32.5,89,-18.000000,-0.202247,0.126303
-32.0,40,-25.000000,-0.625000,0.144428
-31.5,142,-30.000000,-0.211268,0.104254
-31.0,141,9.500000,0.067376,0.104621
-30.5,280,-58.500000,-0.208929,0.071565
-30.0,290,-60.500000,-0.208621,0.070046
-29.5,450,9.000000,0.020000,0.055213
-29.0,459,-56.000000,-0.122004,0.058446
-28.5,859,-113.500000,-0.132130,0.041393
-28.0,1551,-124.500000,-0.080271,0.030520
-27.5,1835,-260.500000,-0.141962,0.028018
-27.0,2801,-311.000000,-0.111032,0.022881
-26.5,2416,-204.000000,-0.084437,0.024697
-26.0,4240,-501.500000,-0.118278,0.018496
-25.5,4168,-473.000000,-0.113484,0.018527
-25.0,8414,-776.000000,-0.092227,0.013046
-24.5,11160,-980.500000,-0.087858,0.011277
-24.0,15536,-1418.000000,-0.091272,0.009592
-23.5,18526,-1605.500000,-0.086662,0.008777
-23.0,20620,-1841.500000,-0.089306,0.008301
-22.5,31674,-3069.000000,-0.096893,0.006681
-22.0,33719,-2984.500000,-0.088511,0.006474
-21.5,57059,-5162.000000,-0.090468,0.004951
-21.0,63350,-5278.500000,-0.083323,0.004711
-20.5,96073,-6661.000000,-0.069333,0.003818
-20.0,79628,-5982.000000,-0.075124,0.004199
-19.5,156568,-11377.500000,-0.072668,0.002987
-19.0,189239,-14270.500000,-0.075410,0.002713
-18.5,166241,-11623.000000,-0.069917,0.002889
-18.0,296390,-18433.500000,-0.062193,0.002160
-17.5,341730,-20181.500000,-0.059057,0.002009
-17.0,406188,-24709.500000,-0.060833,0.001840
-16.5,475143,-28719.500000,-0.060444,0.001700
-16.0,680117,-37240.500000,-0.054756,0.001418
-15.5,658363,-35798.500000,-0.054375,0.001440
-15.0,945426,-46829.500000,-0.049533,0.001200
-14.5,1282994,-64756.500000,-0.050473,0.001029
-14.0,1350077,-63844.500000,-0.047290,0.001002
-13.5,1458011,-64606.500000,-0.044311,0.000963
-13.0,2266470,-103029.000000,-0.045458,0.000771
-12.5,2301080,-97099.000000,-0.042197,0.000764
-12.0,2565643,-103286.500000,-0.040258,0.000723
-11.5,3851255,-149642.000000,-0.038855,0.000589
-11.0,3844441,-139390.000000,-0.036258,0.000589
-10.5,4896007,-170533.000000,-0.034831,0.000521
-10.0,5951975,-190624.000000,-0.032027,0.000472
-9.5,6057256,-189936.000000,-0.031357,0.000467
-9.0,8351347,-237379.000000,-0.028424,0.000398
-8.5,8990028,-237086.000000,-0.026372,0.000383
-8.0,10836248,-274147.500000,-0.025299,0.000348
-7.5,11184217,-264087.500000,-0.023613,0.000342
-7.0,15482220,-335220.500000,-0.021652,0.000291
-6.5,15932368,-321897.000000,-0.020204,0.000286
-6.0,20177557,-380617.500000,-0.018863,0.000254
-5.5,21969899,-378348.500000,-0.017221,0.000243
-5.0,23629149,-377626.000000,-0.015981,0.000234
-4.5,30570875,-423657.500000,-0.013858,0.000205
-4.0,33270978,-413400.000000,-0.012425,0.000197
-3.5,39687407,-433811.500000,-0.010931,0.000180
-3.0,40307060,-390738.000000,-0.009694,0.000178
-2.5,50115475,-415363.000000,-0.008288,0.000160
-2.0,53056809,-368849.500000,-0.006952,0.000155
-1.5,62844893,-339689.000000,-0.005405,0.000143
-1.0,55705541,-227035.500000,-0.004076,0.000151
-0.5,63307692,-212374.500000,-0.003355,0.000142
0.0,235995388,-388595.500000,-0.001647,0.000073
0.5,61747925,14329.000000,0.000232,0.000143
1.0,51661275,100678.500000,0.001949,0.000156
1.5,56422996,197062.500000,0.003494,0.000150
2.0,45889716,208576.500000,0.004549,0.000166
2.5,45735404,318819.000000,0.006999,0.000166
3.0,37536751,338823.000000,0.009090,0.000183
3.5,34047985,406419.500000,0.012086,0.000192
4.0,30387152,440103.500000,0.014724,0.000204
4.5,26195121,449603.500000,0.017523,0.000219
5.0,22850760,478057.500000,0.021554,0.000235
5.5,19372268,472201.500000,0.025261,0.000255
6.0,17965236,480722.500000,0.027901,0.000265
6.5,13878716,413582.000000,0.031139,0.000301
7.0,13764186,435156.000000,0.033134,0.000302
7.5,9840446,342077.000000,0.036585,0.000356
8.0,9709629,354913.500000,0.038475,0.000358
8.5,7624786,295693.000000,0.040941,0.000403
9.0,7515099,307800.000000,0.043206,0.000406
9.5,5416067,230311.500000,0.044897,0.000477
10.0,5007629,223189.500000,0.047005,0.000495
10.5,4361590,195765.000000,0.047352,0.000530
11.0,3288315,157441.500000,0.050482,0.000610
11.5,3304487,165840.500000,0.052965,0.000607
12.0,2221128,113900.500000,0.054156,0.000740
12.5,1956394,101840.500000,0.054970,0.000787
13.0,1938384,104865.000000,0.057184,0.000790
13.5,1212729,67035.000000,0.058189,0.000997
14.0,1142761,65750.500000,0.060669,0.001026
14.5,1076452,63621.500000,0.062390,0.001056
15.0,795621,47489.500000,0.063004,0.001225
15.5,540878,31477.500000,0.061376,0.001485
16.0,564088,36595.000000,0.068494,0.001452
16.5,387057,25843.500000,0.070625,0.001751
17.0,334642,22651.000000,0.071384,0.001882
17.5,276202,19216.500000,0.073571,0.002069
18.0,239588,16930.000000,0.074525,0.002216
18.5,131537,9657.500000,0.077098,0.002996
19.0,151017,10741.000000,0.075068,0.002780
19.5,126150,9042.000000,0.075603,0.003042
20.0,61441,4782.000000,0.082344,0.004364
20.5,77003,6190.500000,0.084609,0.003888
21.0,46654,3655.000000,0.082431,0.004996
21.5,43960,3536.500000,0.084966,0.005136
22.0,25436,2139.500000,0.088750,0.006723
22.5,24416,1790.500000,0.076490,0.006870
23.0,14826,1206.000000,0.085560,0.008783
23.5,14013,1165.500000,0.087420,0.009023
24.0,11721,1150.500000,0.104049,0.009851
24.5,8130,817.000000,0.104502,0.011790
25.0,6253,455.500000,0.076064,0.013522
25.5,2886,235.000000,0.086033,0.019734
26.0,3088,266.000000,0.091306,0.018912
26.5,1716,219.500000,0.135615,0.025567
27.0,1990,200.000000,0.106742,0.023883
27.5,1287,34.500000,0.026031,0.029835
28.0,1000,32.500000,0.039148,0.033513
28.5,611,39.500000,0.075738,0.042964
29.0,306,28.500000,0.097659,0.060190
29.5,324,28.500000,0.097258,0.056198
30.0,180,15.500000,0.096482,0.079897
30.5,174,14.500000,0.089379,0.079192
31.0,104,15.000000,0.145657,0.102420
31.5,105,7.000000,0.072756,0.097808
32.0,23,4.500000,0.207609,0.227535
32.5,63,8.000000,0.132035,0.123148
33.0,32,1.000000,0.038542,0.204471
33.5,7,1.000000,0.142857,0.314842
34.0,11,-0.500000,-0.045455,0.290728
34.5,5,-3.500000,-0.766667,0.440370
35.0,5,2.000000,0.400000,0.357771
35.5,2,3.000000,1.500000,0.000000
36.0,4,1.500000,0.625000,0.480072
36.5,1,-1.000000,-1.000000,0.000000
37.0,1,0.500000,0.500000,0.000000
37.5,1,1.000000,1.000000,0.000000
38.0,1,1.500000,1.500000,0.000000
