TrueCount,HandsPlayed,TotalPayout,EV,StdError
-10.0,1,-1.000000,-1.000000,0.000000
-9.5,1,-1.000000,-1.000000,0.000000
-9.0,1,-1.000000,-1.000000,0.000000
-8.5,3,-4.000000,-1.333333,0.272166
-8.0,5,0.000000,0.000000,0.748331
-7.5,23,6.000000,0.260870,0.267788
-7.0,65,-0.500000,-0.007692,0.152491
-6.5,178,-56.000000,-0.314607,0.086192
-6.0,473,-23.000000,-0.048626,0.052595
-5.5,1322,-54.000000,-0.040847,0.031822
-5.0,3241,-137.000000,-0.042271,0.020108
-4.5,8038,-247.500000,-0.030791,0.012929
-4.0,20887,-786.500000,-0.037655,0.007973
-3.5,51973,-2015.500000,-0.038780,0.005047
-3.0,103378,-2378.500000,-0.023008,0.003554
-2.5,277955,-6710.000000,-0.024141,0.002163
-2.0,644218,-10508.000000,-0.016311,0.001419
-1.5,1337943,-18351.000000,-0.013716,0.000985
-1.0,2563055,-32497.000000,-0.012679,0.000711
-0.5,4271598,-51987.000000,-0.012170,0.000550
0.0,57678082,-151733.500000,-0.002631,0.000149
0.5,8660261,-82252.500000,-0.009498,0.000386
1.0,10742451,-90496.500000,-0.008424,0.000346
1.5,11810684,-79230.500000,-0.006708,0.000329
2.0,12853085,-80254.000000,-0.006244,0.000316
2.5,12373485,-75256.000000,-0.006082,0.000322
3.0,12489887,-61956.500000,-0.004961,0.000320
3.5,12643641,-69395.000000,-0.005489,0.000318
4.0,12599949,-69539.000000,-0.005519,0.000318
4.5,10719755,-66457.500000,-0.006200,0.000346
5.0,9728305,-47012.000000,-0.004832,0.000363
5.5,11752018,-54843.000000,-0.004667,0.000330
6.0,11274731,-44343.500000,-0.003933,0.000337
6.5,10448292,-41146.000000,-0.003938,0.000350
7.0,9711097,-48934.500000,-0.005039,0.000363
7.5,10214241,-43799.000000,-0.004288,0.000353
8.0,9372091,-33127.000000,-0.003535,0.000369
8.5,8668088,-25063.500000,-0.002891,0.000383
9.0,9648622,-24207.000000,-0.002509,0.000363
9.5,8615939,-18856.500000,-0.002189,0.000384
10.0,8187377,-10689.500000,-0.001306,0.000394
10.5,7827533,-11317.500000,-0.001446,0.000403
11.0,7684390,-8900.500000,-0.001158,0.000406
11.5,6957730,7819.000000,0.001124,0.000427
12.0,7445036,2643.000000,0.000355,0.000413
12.5,6336519,16045.500000,0.002532,0.000447
13.0,5640246,14719.000000,0.002610,0.000473
13.5,5852144,21893.500000,0.003741,0.000464
14.0,5377764,17973.500000,0.003342,0.000484
14.5,4029932,26911.000000,0.006678,0.000558
15.0,4517835,27648.500000,0.006120,0.000527
15.5,4390151,23867.500000,0.005437,0.000534
16.0,3222790,24763.500000,0.007684,0.000623
16.5,3208677,33942.000000,0.010578,0.000623
17.0,2481044,23771.500000,0.009581,0.000709
17.5,2168111,25452.500000,0.011739,0.000756
18.0,2406236,34725.500000,0.014431,0.000718
18.5,1844271,22258.000000,0.012069,0.000819
19.0,1422815,20360.000000,0.014310,0.000931
19.5,1215757,20776.500000,0.017089,0.001005
20.0,914993,16030.500000,0.017520,0.001159
20.5,839789,13822.500000,0.016459,0.001207
21.0,748945,14768.500000,0.019719,0.001276
21.5,454818,9140.500000,0.020097,0.001636
22.0,484065,10289.000000,0.021255,0.001586
22.5,276455,6835.000000,0.024724,0.002094
23.0,281220,5480.500000,0.019488,0.002076
23.5,187165,5072.500000,0.027102,0.002538
24.0,131317,3591.000000,0.027346,0.003030
24.5,120128,3551.500000,0.029564,0.003157
25.0,53343,1758.000000,0.032957,0.004739
25.5,74948,2541.000000,0.033904,0.003994
26.0,25665,702.500000,0.027372,0.006817
26.5,35059,1320.000000,0.037651,0.005810
27.0,11601,188.000000,0.016205,0.010108
27.5,12128,455.500000,0.037558,0.009871
28.0,7407,228.000000,0.030782,0.012746
28.5,3893,61.500000,0.015798,0.017359
29.0,3818,78.000000,0.020430,0.017491
29.5,1355,98.000000,0.072325,0.029209
30.0,1203,34.500000,0.028678,0.031689
30.5,510,45.000000,0.088235,0.049040
31.0,324,-3.000000,-0.009259,0.059446
31.5,218,26.000000,0.119266,0.073951
32.0,90,-5.000000,-0.055556,0.115589
32.5,51,-9.500000,-0.186275,0.135110
33.0,37,7.000000,0.189189,0.164789
33.5,13,-1.000000,-0.076923,0.311734
34.0,7,6.000000,0.857143,0.132260
35.5,1,-1.000000,-1.000000,0.000000
38.0,1,2.000000,2.000000,0.000000
