TrueCount,HandsPlayed,TotalPayout,EV,StdError
-61.5,1,2.000000,2.000000,0.000000
-60.5,2,-3.000000,-1.500000,0.353553
-59.0,1,1.000000,1.000000,0.000000
-58.0,1,-1.000000,-1.000000,0.000000
-57.5,3,1.000000,0.333333,0.720082
-57.0,2,1.000000,0.500000,1.060660
-56.5,3,-3.000000,-1.000000,0.000000
-56.0,1,-1.000000,-1.000000,0.000000
-55.5,2,2.000000,1.000000,0.000000
-55.0,6,4.500000,0.750000,0.523742
-54.5,2,0.000000,0.000000,0.707107
-54.0,5,0.000000,0.000000,0.400000
-53.5,3,1.000000,0.333333,0.544331
-53.0,12,-2.500000,-0.208333,0.285399
-52.5,21,-5.500000,-0.261905,0.268571
-52.0,11,-5.000000,-0.454545,0.348874
-51.5,25,-4.500000,-0.180000,0.209533
-51.0,42,-4.500000,-0.107143,0.171309
-50.5,41,-5.000000,-0.121951,0.191879
-50.0,46,-7.000000,-0.152174,0.162586
-49.5,52,-20.500000,-0.394231,0.171648
-49.0,79,-13.000000,-0.164557,0.121980
-48.5,105,-7.500000,-0.071429,0.115358
-48.0,96,-21.000000,-0.218750,0.120539
-47.5,126,-27.000000,-0.214286,0.107719
-47.0,175,-11.000000,-0.062857,0.089954
-46.5,217,-45.000000,-0.207373,0.081811
-46.0,295,-9.500000,-0.032203,0.069714
-45.5,297,-58.500000,-0.196970,0.066768
-45.0,406,-33.000000,-0.081281,0.057359
-44.5,539,-47.000000,-0.087199,0.051009
-44.0,623,-71.500000,-0.114767,0.046287
-43.5,877,-48.500000,-0.055302,0.040081
-43.0,912,-147.000000,-0.161184,0.038319
-42.5,1238,-165.500000,-0.133683,0.033831
-42.0,1472,-158.500000,-0.107677,0.030955
-41.5,1729,-175.000000,-0.101215,0.028551
-41.0,2142,-241.500000,-0.112745,0.025458
-40.5,2617,-249.500000,-0.095338,0.023238
-40.0,2999,-271.000000,-0.090363,0.021534
-39.5,3721,-379.000000,-0.101854,0.019276
-39.0,4477,-411.000000,-0.091803,0.017771
-38.5,5739,-381.500000,-0.066475,0.015698
-38.0,6487,-630.000000,-0.097117,0.014609
-37.5,7947,-831.000000,-0.104568,0.013198
-37.0,9221,-732.500000,-0.079438,0.012276
-36.5,11266,-1149.500000,-0.102033,0.011133
-36.0,14113,-1263.000000,-0.089492,0.009936
-35.5,15521,-1474.500000,-0.095000,0.009390
-35.0,19526,-1852.000000,-0.094848,0.008375
-34.5,23122,-1992.000000,-0.086152,0.007728
-34.0,25053,-1777.500000,-0.070950,0.007452
-33.5,33003,-2372.000000,-0.071872,0.006476
-33.0,37812,-2388.500000,-0.063168,0.006066
-32.5,42864,-3188.500000,-0.074386,0.005639
-32.0,53447,-3559.000000,-0.066589,0.005070
-31.5,61358,-3904.500000,-0.063635,0.004732
-31.0,70694,-4475.000000,-0.063301,0.004390
-30.5,83663,-5131.000000,-0.061329,0.004031
