TrueCount,HandsPlayed,TotalPayout,EV,StdError
-50.0,1,-1.000000,-1.000000,0.000000
-46.0,1,1.000000,1.000000,0.000000
-45.0,1,-2.000000,-2.000000,0.000000
-44.5,2,0.000000,0.000000,0.707107
-43.5,3,-3.000000,-1.000000,0.000000
-43.0,1,-1.000000,-1.000000,0.000000
-42.5,7,-2.000000,-0.285714,0.438657
-42.0,7,0.000000,0.000000,0.571429
-41.5,4,5.000000,1.250000,0.216506
-41.0,17,-5.000000,-0.294118,0.285336
-40.5,15,5.000000,0.333333,0.322031
-40.0,28,-5.000000,-0.178571,0.220468
-39.5,30,-0.500000,-0.016667,0.245496
-39.0,43,-16.000000,-0.372093,0.191838
-38.5,88,-23.000000,-0.261364,0.141471
-38.0,88,1.000000,0.011364,0.130057
-37.5,111,-15.500000,-0.139640,0.119717
-37.0,138,-19.500000,-0.141304,0.095172
-36.5,225,-33.000000,-0.146667,0.078713
-36.0,250,-16.000000,-0.064000,0.081533
-35.5,367,-19.500000,-0.053134,0.064579
-35.0,425,-55.000000,-0.129412,0.058322
-34.5,739,-95.500000,-0.129229,0.045041
-34.0,675,-114.500000,-0.169630,0.046136
-33.5,1253,-134.500000,-0.107342,0.034148
-33.0,1326,-139.000000,-0.104827,0.033100
-32.5,1687,-192.500000,-0.114108,0.029655
-32.0,2253,-331.500000,-0.147137,0.025153
-31.5,2780,-343.000000,-0.123381,0.022950
-31.0,3823,-483.500000,-0.126471,0.019483
-30.5,4624,-601.000000,-0.129974,0.017877
-30.0,5698,-690.500000,-0.121183,0.016081
-29.5,8115,-940.500000,-0.115896,0.013455
-29.0,9915,-1271.000000,-0.128190,0.012012
-28.5,12182,-1336.000000,-0.109670,0.010842
-28.0,15718,-2048.000000,-0.130296,0.009578
-27.5,16815,-1729.500000,-0.102855,0.009185
-27.0,26322,-2919.500000,-0.110915,0.007359
-26.5,33142,-2668.500000,-0.080517,0.006549
-26.0,28477,-2761.500000,-0.096973,0.007051
-25.5,48738,-4956.000000,-0.101687,0.005405
-25.0,62418,-5761.500000,-0.092305,0.004770
-24.5,62653,-6099.500000,-0.097354,0.004729
-24.0,84902,-7793.000000,-0.091788,0.004070
-23.5,103328,-8791.500000,-0.085083,0.003686
-23.0,130551,-12023.000000,-0.092094,0.003268
-22.5,155563,-12936.500000,-0.083159,0.002990
-22.0,184264,-14382.500000,-0.078054,0.002749
-21.5,221350,-17171.500000,-0.077576,0.002502
-21.0,279723,-20454.500000,-0.073124,0.002225
-20.5,325197,-24388.000000,-0.074995,0.002059
-20.0,399292,-28904.500000,-0.072389,0.001858
-19.5,464394,-31689.000000,-0.068237,0.001722
-19.0,560753,-36463.500000,-0.065026,0.001563
-18.5,707408,-44869.500000,-0.063428,0.001392
-18.0,760208,-46551.000000,-0.061235,0.001341
-17.5,992091,-59545.500000,-0.060020,0.001172
-17.0,1139013,-64734.000000,-0.056833,0.001092
-16.5,1377530,-77549.000000,-0.056296,0.000992
-16.0,1567915,-85535.000000,-0.054553,0.000929
-15.5,1897797,-96677.500000,-0.050942,0.000844
-15.0,2202168,-108737.500000,-0.049377,0.000783
-14.5,2559711,-121648.500000,-0.047524,0.000725
-14.0,3040333,-142503.000000,-0.046871,0.000664
-13.5,3675807,-162424.500000,-0.044187,0.000603
-13.0,4116036,-178057.000000,-0.043259,0.000570
-12.5,4966488,-205044.000000,-0.041286,0.000518
-12.0,5728467,-225737.000000,-0.039406,0.000482
-11.5,6643340,-247808.500000,-0.037302,0.000447
-11.0,7814261,-275095.500000,-0.035204,0.000412
-10.5,9151305,-308807.500000,-0.033745,0.000380
-10.0,10726457,-345948.500000,-0.032252,0.000351
-9.5,12138652,-371319.500000,-0.030590,0.000329
-9.0,14306938,-415268.000000,-0.029026,0.000303
-8.5,16807523,-468579.500000,-0.027879,0.000279
-8.0,19480639,-497826.000000,-0.025555,0.000259
-7.5,22703451,-564848.000000,-0.024879,0.000240
-7.0,26218505,-599150.000000,-0.022852,0.000223
-6.5,30773528,-665693.000000,-0.021632,0.000205
-6.0,35891976,-720104.500000,-0.020063,0.000190
-5.5,42233371,-795252.500000,-0.018830,0.000175
-5.0,49296293,-856388.000000,-0.017372,0.000162
-4.5,57463362,-907576.500000,-0.015794,0.000150
-4.0,67578444,-973352.500000,-0.014403,0.000138
-3.5,80703263,-1054106.500000,-0.013062,0.000126
-3.0,94017493,-1089142.500000,-0.011584,0.000117
-2.5,111521302,-1143036.000000,-0.010249,0.000107
-2.0,132523036,-1191152.000000,-0.008988,0.000098
-1.5,157341802,-1225996.500000,-0.007792,0.000090
-1.0,192998395,-1256652.000000,-0.006511,0.000081
-0.5,233043729,-1209899.000000,-0.005192,0.000074
0.0,265106385,-1039079.000000,-0.003919,0.000069
0.5,225134053,-582654.000000,-0.002588,0.000075
1.0,185145859,-211475.500000,-0.001142,0.000083
1.5,151728645,26981.500000,0.000178,0.000091
2.0,127720254,219543.500000,0.001719,0.000099
2.5,107574528,349130.000000,0.003245,0.000108
3.0,90719685,396142.000000,0.004367,0.000118
3.5,77823116,449569.000000,0.005777,0.000127
4.0,65154044,452431.500000,0.006944,0.000139
4.5,55385160,452355.500000,0.008167,0.000150
5.0,47509573,481965.500000,0.010149,0.000163
5.5,40692351,492115.500000,0.012136,0.000176
6.0,34675301,524428.000000,0.015299,0.000191
6.5,29804895,568167.000000,0.019479,0.000206
7.0,25398384,610635.000000,0.024911,0.000223
7.5,21987603,617803.000000,0.029405,0.000239
8.0,18877895,581925.500000,0.032417,0.000257
8.5,16270737,543987.500000,0.035255,0.000277
9.0,13840871,487236.000000,0.037173,0.000300
9.5,11784524,437971.000000,0.039324,0.000324
10.0,10413676,406934.000000,0.041370,0.000345
10.5,8873098,365930.500000,0.043647,0.000373
11.0,7590507,325645.500000,0.045488,0.000403
11.5,6450445,282710.500000,0.046391,0.000436
12.0,5563446,262350.000000,0.049983,0.000469
12.5,4819534,234438.500000,0.051552,0.000503
13.0,4000510,193702.000000,0.051333,0.000552
13.5,3571920,182437.500000,0.054072,0.000583
14.0,2952492,154397.000000,0.055425,0.000641
14.5,2486433,136241.500000,0.058128,0.000697
15.0,2142480,120385.500000,0.059533,0.000751
15.5,1845119,105737.500000,0.060649,0.000808
16.0,1525700,91177.000000,0.063354,0.000887
16.5,1341271,80787.000000,0.063851,0.000945
17.0,1106393,70064.000000,0.067238,0.001039
17.5,968315,61253.500000,0.067224,0.001109
