TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.5,1,-1.000000,-1.000000,0.000000
-3.0,49,-8.000000,-0.163265,0.160945
-2.5,496,-29.000000,-0.058468,0.051709
-2.0,6375,-133.500000,-0.020941,0.014338
-1.5,83712,-1110.500000,-0.013266,0.003955
-1.0,1085428,-19234.000000,-0.017720,0.001091
-0.5,16252343,-185375.000000,-0.011406,0.000281
0.0,114409357,-840342.000000,-0.007345,0.000105
0.5,110029795,-843262.500000,-0.007664,0.000107
1.0,98842048,-705978.500000,-0.007142,0.000113
1.5,92223652,-665881.000000,-0.007220,0.000117
2.0,85937774,-614608.000000,-0.007152,0.000122
2.5,80460163,-542613.000000,-0.006744,0.000126
3.0,74882326,-507013.500000,-0.006771,0.000130
3.5,71597050,-470108.500000,-0.006566,0.000133
4.0,66266877,-442320.000000,-0.006675,0.000138
4.5,62967676,-414924.000000,-0.006589,0.000142
5.0,59370744,-379476.500000,-0.006392,0.000146
5.5,55766164,-357631.000000,-0.006413,0.000151
6.0,53136274,-325849.500000,-0.006132,0.000154
6.5,50348578,-314932.500000,-0.006255,0.000159
7.0,47842278,-292262.500000,-0.006109,0.000163
7.5,45484315,-254055.000000,-0.005586,0.000167
8.0,43167069,-250654.000000,-0.005807,0.000171
8.5,40357387,-228960.000000,-0.005673,0.000177
9.0,39788595,-219202.000000,-0.005509,0.000178
9.5,36437096,-178685.000000,-0.004904,0.000186
10.0,35730433,-171556.500000,-0.004801,0.000188
10.5,33241206,-143580.500000,-0.004319,0.000195
11.0,31017287,-125449.500000,-0.004045,0.000202
11.5,28905001,-89814.000000,-0.003107,0.000209
12.0,26622160,-39594.000000,-0.001487,0.000218
12.5,24467824,-34087.500000,-0.001393,0.000227
13.0,21220350,34592.000000,0.001630,0.000243
13.5,19473373,30601.500000,0.001571,0.000254
14.0,16468646,54418.000000,0.003304,0.000275
14.5,13712925,73615.500000,0.005368,0.000301
15.0,11529334,72127.500000,0.006256,0.000328
15.5,9388259,85075.500000,0.009062,0.000363
16.0,6866227,65043.500000,0.009473,0.000424
16.5,5458185,66325.000000,0.012151,0.000475
17.0,3969209,51844.000000,0.013062,0.000556
17.5,2789173,42620.000000,0.015281,0.000662
18.0,1908636,31873.500000,0.016700,0.000799
18.5,1320613,25667.500000,0.019436,0.000958
19.0,813448,17158.500000,0.021094,0.001219
19.5,488453,11149.000000,0.022825,0.001570
20.0,290093,6822.000000,0.023517,0.002032
20.5,175593,4120.000000,0.023463,0.002602
21.0,93010,2641.500000,0.028400,0.003580
21.5,44597,1304.500000,0.029251,0.005167
22.0,27019,1005.000000,0.037196,0.006611
22.5,12536,360.000000,0.028717,0.009723
23.0,5294,49.500000,0.009350,0.014899
23.5,2462,209.500000,0.085093,0.022186
24.0,1140,88.000000,0.077193,0.032203
24.5,453,43.500000,0.096026,0.050800
25.0,124,1.500000,0.012097,0.094987
25.5,77,-4.000000,-0.051948,0.117094
26.0,24,8.000000,0.333333,0.207638
26.5,7,-4.000000,-0.571429,0.275321
27.0,1,-1.000000,-1.000000,0.000000
27.5,2,2.000000,1.000000,0.000000
