TrueCount,HandsPlayed,TotalPayout,EV,StdError
-23.5,1,-1.000000,-1.000000,0.000000
-23.0,2,0.000000,0.000000,0.707107
-22.5,5,-1.000000,-0.200000,0.657267
-22.0,15,-7.500000,-0.500000,0.278887
-21.5,18,-3.000000,-0.166667,0.326315
-21.0,32,5.000000,0.156250,0.207804
-20.5,75,-4.000000,-0.053333,0.144399
-20.0,114,1.500000,0.013158,0.106075
-19.5,242,-16.000000,-0.066116,0.075286
-19.0,427,-48.500000,-0.113583,0.058042
-18.5,712,-18.500000,-0.025983,0.044950
-18.0,1206,-107.000000,-0.088723,0.034133
-17.5,1923,-168.500000,-0.087624,0.026549
-17.0,3434,-318.000000,-0.092603,0.020126
-16.5,5634,-336.000000,-0.059638,0.015721
-16.0,9133,-558.500000,-0.061152,0.012306
-15.5,14065,-906.000000,-0.064415,0.009840
-15.0,23075,-1335.500000,-0.057876,0.007695
-14.5,36134,-2055.000000,-0.056872,0.006132
-14.0,55778,-2946.000000,-0.052817,0.004931
-13.5,84692,-4377.000000,-0.051681,0.003987
-13.0,121329,-6497.000000,-0.053549,0.003337
-12.5,194289,-10270.500000,-0.052862,0.002625
-12.0,279467,-12741.500000,-0.045592,0.002193
-11.5,409340,-16931.500000,-0.041363,0.001809
-11.0,588295,-22941.000000,-0.038996,0.001506
-10.5,826581,-30939.000000,-0.037430,0.001270
-10.0,1214151,-42271.500000,-0.034816,0.001046
-9.5,1667760,-56568.500000,-0.033919,0.000891
-9.0,2322546,-74003.000000,-0.031863,0.000754
-8.5,3187149,-98637.000000,-0.030948,0.000643
-8.0,4285333,-124349.500000,-0.029017,0.000554
-7.5,5899258,-168019.500000,-0.028481,0.000471
-7.0,7920475,-201261.000000,-0.025410,0.000406
-6.5,10464979,-243509.500000,-0.023269,0.000353
-6.0,13919095,-299780.000000,-0.021537,0.000306
-5.5,18037872,-374342.000000,-0.020753,0.000268
-5.0,23525804,-439025.000000,-0.018661,0.000235
-4.5,30786436,-535101.000000,-0.017381,0.000205
-4.0,39509060,-621773.000000,-0.015737,0.000181
-3.5,50837183,-705379.500000,-0.013875,0.000159
-3.0,63888373,-829152.000000,-0.012978,0.000142
-2.5,82212502,-922731.000000,-0.011224,0.000125
-2.0,104186229,-1014933.000000,-0.009742,0.000111
-1.5,131831476,-1088418.500000,-0.008256,0.000098
-1.0,168631536,-1151693.500000,-0.006830,0.000087
-0.5,212978886,-1168157.000000,-0.005485,0.000077
0.0,258330240,-1040720.500000,-0.004029,0.000070
0.5,204059172,-547940.000000,-0.002685,0.000079
1.0,161084282,-175084.500000,-0.001087,0.000089
1.5,126236535,42676.500000,0.000338,0.000100
2.0,99553742,200206.000000,0.002011,0.000113
2.5,78464548,256843.500000,0.003273,0.000127
3.0,60906998,288165.500000,0.004731,0.000144
3.5,48367834,292573.500000,0.006049,0.000161
4.0,37542225,290044.500000,0.007726,0.000182
4.5,29170954,301835.500000,0.010381,0.000207
5.0,22228185,322688.000000,0.014751,0.000236
5.5,17076304,357680.500000,0.021708,0.000270
6.0,13168116,333535.000000,0.026584,0.000309
6.5,9883886,276641.000000,0.029490,0.000356
7.0,7461711,226052.500000,0.031985,0.000409
7.5,5542658,179533.500000,0.034149,0.000474
8.0,4023284,134101.500000,0.035128,0.000556
8.5,2991638,103610.500000,0.036527,0.000644
9.0,2178998,85393.500000,0.041315,0.000753
9.5,1557200,62154.500000,0.042154,0.000890
10.0,1129628,44945.000000,0.041906,0.001043
10.5,766880,33053.000000,0.045450,0.001264
11.0,545964,23902.000000,0.046237,0.001494
11.5,378558,18311.500000,0.050966,0.001796
12.0,258631,12498.500000,0.051084,0.002167
12.5,179396,8641.000000,0.050959,0.002599
13.0,112292,6063.500000,0.057084,0.003290
13.5,78697,4011.500000,0.053617,0.003914
14.0,51091,2847.000000,0.059008,0.004838
14.5,33084,2009.500000,0.064113,0.006019
15.0,21056,1279.000000,0.063618,0.007546
15.5,12817,864.000000,0.070288,0.009637
16.0,8315,509.000000,0.064287,0.011929
16.5,5348,330.000000,0.066173,0.014867
17.0,3184,267.000000,0.089249,0.019188
17.5,1682,79.500000,0.048979,0.026647
18.0,1100,59.000000,0.053695,0.032722
18.5,678,39.000000,0.062660,0.041796
19.0,402,56.000000,0.144315,0.054281
19.5,232,10.000000,0.045318,0.072656
20.0,111,23.500000,0.236574,0.098944
20.5,75,1.500000,0.029771,0.131835
21.0,28,-1.500000,-0.053571,0.171910
21.5,17,6.500000,0.382353,0.271257
22.0,8,7.000000,0.875000,0.315610
22.5,7,-0.500000,-0.071429,0.409437
23.5,1,1.000000,1.000000,0.000000
