TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-11.5,2,3.000000,-1.000000,-0.333333,0.272166
-11.0,7,8.000000,3.000000,0.375000,0.302980
-10.5,13,16.000000,-8.000000,-0.500000,0.216506
-10.0,87,99.000000,-15.000000,-0.151515,0.098051
-9.5,236,271.000000,-1.500000,-0.005535,0.058837
-9.0,838,959.000000,-30.000000,-0.031283,0.031231
-8.5,2391,2750.000000,-212.500000,-0.077273,0.018491
-8.0,6151,7030.000000,-374.000000,-0.053201,0.011629
-7.5,18386,20899.000000,-859.000000,-0.041102,0.006748
-7.0,48258,54898.000000,-2218.000000,-0.040402,0.004165
-6.5,116635,132124.000000,-5591.000000,-0.042316,0.002686
-6.0,258628,292873.000000,-11249.500000,-0.038411,0.001805
-5.5,592149,668853.000000,-21994.500000,-0.032884,0.001196
-5.0,1235802,1392894.000000,-41135.500000,-0.029532,0.000829
-4.5,2533240,2850030.000000,-81906.000000,-0.028739,0.000580
-4.0,4924315,5528509.000000,-135204.500000,-0.024456,0.000416
-3.5,9056014,10148796.000000,-227083.500000,-0.022375,0.000308
-3.0,15826232,17700316.000000,-350920.000000,-0.019826,0.000233
-2.5,27766363,30992944.000000,-531988.500000,-0.017165,0.000176
-2.0,46466350,51760003.000000,-761964.500000,-0.014721,0.000136
-1.5,75343777,83762805.000000,-1022890.500000,-0.012212,0.000107
-1.0,115943778,128649586.000000,-1252790.000000,-0.009738,0.000087
-0.5,170173256,188501954.000000,-1421239.500000,-0.007540,0.000072
0.0,288133757,319012263.000000,-1734708.500000,-0.005438,0.000055
0.5,156676771,173298035.000000,-522718.000000,-0.003016,0.000075
1.0,107917057,119147319.000000,-66935.500000,-0.000562,0.000090
1.5,69681553,76775098.000000,137014.000000,0.001785,0.000112
2.0,42760277,47024537.000000,203520.000000,0.004328,0.000144
2.5,25390477,27883520.000000,178640.000000,0.006407,0.000187
3.0,14616810,16006495.000000,137766.500000,0.008607,0.000247
3.5,8682825,9324638.000000,101886.500000,0.010927,0.000327
4.0,4794420,5081466.500000,66813.500000,0.013148,0.000446
4.5,2455465,2593937.000000,39466.500000,0.015215,0.000625
5.0,1189503,1253341.500000,22639.000000,0.018063,0.000900
5.5,565242,594363.000000,12475.000000,0.020989,0.001309
6.0,244618,256916.000000,6256.500000,0.024352,0.001993
6.5,107930,113157.500000,2709.000000,0.023940,0.003001
7.0,43902,45848.500000,1352.500000,0.029499,0.004716
7.5,16294,17037.500000,664.000000,0.038973,0.007750
8.0,5485,5702.500000,152.000000,0.026655,0.013443
8.5,2172,2240.000000,15.500000,0.006920,0.021377
9.0,737,773.000000,9.000000,0.011643,0.036046
9.5,216,214.500000,17.500000,0.081585,0.070406
10.0,53,59.000000,-10.000000,-0.169492,0.125761
10.5,15,16.500000,2.500000,0.151515,0.241447
11.0,1,1.000000,1.000000,1.000000,0.000000
11.5,2,1.500000,-1.500000,-1.000000,0.000000
12.0,2,1.500000,0.500000,0.333333,0.769800
