TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-28.0,2,2.000000,0.000000,0.000000,0.707107
-27.5,1,1.000000,-1.000000,-1.000000,0.000000
-27.0,3,4.000000,-2.000000,-0.500000,0.433013
-26.5,5,7.000000,-1.000000,-0.142857,0.374088
-26.0,4,6.000000,-6.000000,-1.000000,0.000000
-25.5,9,11.000000,-4.500000,-0.409091,0.263622
-25.0,19,23.000000,-8.000000,-0.347826,0.190598
-24.5,18,22.000000,-2.000000,-0.090909,0.202353
-24.0,49,56.000000,-2.000000,-0.035714,0.126179
-23.5,98,124.000000,-3.000000,-0.024194,0.087576
-23.0,183,221.000000,-11.500000,-0.052036,0.066525
-22.5,144,171.000000,-6.500000,-0.038012,0.074662
-22.0,443,524.000000,-36.500000,-0.069656,0.042124
-21.5,608,707.000000,-97.500000,-0.137907,0.036702
-21.0,674,794.000000,-81.000000,-0.102015,0.034046
-20.5,1622,1881.000000,-152.000000,-0.080808,0.022444
-20.0,2097,2437.000000,-268.000000,-0.109971,0.019652
-19.5,2408,2824.000000,-60.000000,-0.021246,0.018281
-19.0,4770,5551.000000,-401.500000,-0.072329,0.013072
-18.5,8666,10078.000000,-651.000000,-0.064596,0.009684
-18.0,12842,14827.000000,-934.000000,-0.062993,0.008002
-17.5,13017,15061.000000,-869.000000,-0.057699,0.007981
-17.0,23633,27245.000000,-1361.000000,-0.049954,0.005920
-16.5,33413,38551.000000,-2123.500000,-0.055083,0.004977
-16.0,39174,44963.000000,-2263.000000,-0.050330,0.004613
-15.5,87817,100788.000000,-4635.500000,-0.045993,0.003084
-15.0,106559,122249.000000,-5998.500000,-0.049068,0.002796
-14.5,94782,108586.000000,-4643.500000,-0.042763,0.002969
-14.0,198968,227772.000000,-9136.500000,-0.040112,0.002050
-13.5,266852,305074.000000,-13960.500000,-0.045761,0.001772
-13.0,343849,392561.000000,-16748.000000,-0.042663,0.001563
-12.5,432252,492657.000000,-17683.500000,-0.035894,0.001396
-12.0,681467,775863.000000,-27664.500000,-0.035656,0.001112
-11.5,678619,771074.000000,-28432.500000,-0.036874,0.001116
-11.0,1076435,1221814.000000,-40960.000000,-0.033524,0.000887
-10.5,1640471,1858784.000000,-58053.500000,-0.031232,0.000719
-10.0,1745564,1974762.000000,-59101.000000,-0.029928,0.000698
-9.5,2011011,2272452.000000,-67352.000000,-0.029638,0.000650
-9.0,2868206,3238212.000000,-90236.000000,-0.027866,0.000545
-8.5,3670623,4137639.000000,-108586.500000,-0.026244,0.000482
-8.0,4482193,5046928.000000,-121342.000000,-0.024043,0.000437
-7.5,5434701,6111446.000000,-142155.500000,-0.023261,0.000397
-7.0,7527040,8453318.000000,-177389.000000,-0.020985,0.000338
-6.5,8428685,9453789.000000,-196043.000000,-0.020737,0.000319
-6.0,9913617,11105811.000000,-205969.500000,-0.018546,0.000295
-5.5,13904432,15556848.000000,-271587.000000,-0.017458,0.000249
-5.0,13961731,15603794.000000,-253425.000000,-0.016241,0.000249
-4.5,18237837,20353207.000000,-300203.000000,-0.014750,0.000218
-4.0,23375804,26060190.000000,-340947.500000,-0.013083,0.000192
-3.5,28184818,31379420.000000,-372865.000000,-0.011882,0.000175
-3.0,29820004,33169210.000000,-337143.500000,-0.010164,0.000171
-2.5,34103917,37890478.000000,-360444.000000,-0.009513,0.000160
-2.0,44163440,49030370.000000,-388499.000000,-0.007924,0.000140
-1.5,43959297,48785990.000000,-325803.500000,-0.006678,0.000141
-1.0,40822434,45294711.000000,-283228.000000,-0.006253,0.000146
-0.5,57874228,64175186.000000,-278138.500000,-0.004334,0.000123
0.0,213243266,236180313.000000,-785126.500000,-0.003324,0.000064
0.5,57428721,63507615.000000,-98813.000000,-0.001556,0.000123
1.0,35115495,38786775.000000,-9524.000000,-0.000246,0.000158
1.5,37597082,41491939.000000,45954.000000,0.001108,0.000153
2.0,38018990,41889124.000000,88220.500000,0.002106,0.000152
2.5,30260484,33232864.500000,106190.500000,0.003195,0.000171
3.0,26043531,28521071.000000,130753.000000,0.004584,0.000185
3.5,23238053,25391688.500000,140734.500000,0.005543,0.000196
4.0,21676632,23603739.500000,171437.500000,0.007263,0.000204
4.5,14444315,15665576.000000,131780.000000,0.008412,0.000251
5.0,14083727,15214081.000000,145108.000000,0.009538,0.000256
5.5,12132883,13052233.500000,140537.500000,0.010767,0.000277
6.0,8787333,9409126.000000,115123.500000,0.012235,0.000326
6.5,7015786,7495444.500000,99484.000000,0.013273,0.000366
7.0,6696830,7131836.000000,109228.000000,0.015316,0.000376
7.5,4821076,5110637.000000,85803.000000,0.016789,0.000444
8.0,3712066,3932901.500000,69565.000000,0.017688,0.000507
8.5,3146512,3329771.000000,69459.000000,0.020860,0.000551
9.0,2582073,2728764.500000,58804.000000,0.021550,0.000608
9.5,1694639,1790063.500000,38635.500000,0.021583,0.000751
10.0,1416346,1494035.000000,33785.500000,0.022614,0.000822
10.5,1393184,1467705.500000,35009.000000,0.023853,0.000830
11.0,874018,919800.000000,24275.500000,0.026392,0.001049
11.5,523561,550680.500000,15604.500000,0.028337,0.001355
12.0,565177,593703.000000,17345.500000,0.029216,0.001306
12.5,346354,362977.000000,11145.500000,0.030706,0.001671
13.0,265256,278162.500000,8702.000000,0.031284,0.001909
13.5,209299,219023.000000,7056.000000,0.032216,0.002151
14.0,165327,172780.500000,5377.500000,0.031123,0.002423
14.5,63434,66357.000000,2371.000000,0.035731,0.003911
