TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-37.5,2,3.000000,-1.000000,-0.333333,0.544331
-37.0,1,2.000000,-2.000000,-1.000000,0.000000
-36.5,3,5.000000,-5.000000,-1.000000,0.000000
-36.0,3,3.000000,-1.000000,-0.333333,0.544331
-35.5,3,5.000000,-1.000000,-0.200000,0.438178
-35.0,9,9.000000,-4.000000,-0.444444,0.277160
-34.5,13,14.000000,2.000000,0.142857,0.264520
-34.0,17,20.000000,-1.000000,-0.050000,0.205852
-33.5,35,42.000000,-2.500000,-0.059524,0.150775
-33.0,46,54.000000,0.000000,0.000000,0.130946
-32.5,62,72.000000,2.000000,0.027778,0.115741
-32.0,119,139.000000,-26.500000,-0.190647,0.080819
-31.5,170,196.000000,-36.500000,-0.186224,0.068537
-31.0,177,204.000000,-46.500000,-0.227941,0.065703
-30.5,241,283.000000,-9.000000,-0.031802,0.058193
-30.0,365,432.000000,13.000000,0.030093,0.047134
-29.5,503,602.000000,-1.000000,-0.001661,0.039728
-29.0,623,719.000000,-52.500000,-0.073018,0.036319
-28.5,891,1036.000000,-21.000000,-0.020270,0.030195
-28.0,1310,1529.000000,-109.000000,-0.071288,0.025056
-27.5,1773,2049.000000,-77.500000,-0.037823,0.021729
-27.0,2556,2977.000000,-176.500000,-0.059288,0.017883
-26.5,3229,3709.000000,-186.500000,-0.050283,0.016047
-26.0,4122,4729.000000,-265.500000,-0.056143,0.014218
-25.5,5574,6459.000000,-371.500000,-0.057517,0.012154
-25.0,7651,8745.000000,-309.500000,-0.035392,0.010450
-24.5,9930,11358.000000,-552.000000,-0.048600,0.009182
-24.0,13946,16063.000000,-935.500000,-0.058239,0.007698
-23.5,16999,19528.000000,-1108.500000,-0.056765,0.006992
-23.0,23572,26993.000000,-1623.500000,-0.060145,0.005955
-22.5,27205,31198.000000,-1636.500000,-0.052455,0.005542
-22.0,38929,44545.000000,-2333.000000,-0.052374,0.004632
-21.5,49008,56059.000000,-2583.500000,-0.046085,0.004129
-21.0,60894,69533.000000,-3047.000000,-0.043821,0.003709
-20.5,83008,94639.000000,-4584.500000,-0.048442,0.003181
-20.0,101827,116081.000000,-4918.500000,-0.042371,0.002874
-19.5,130652,148680.000000,-6324.500000,-0.042538,0.002539
-19.0,166547,189684.000000,-6862.000000,-0.036176,0.002249
-18.5,203881,231733.000000,-8798.000000,-0.037966,0.002035
-18.0,261441,297023.000000,-11710.500000,-0.039426,0.001796
-17.5,296244,335832.000000,-12314.500000,-0.036669,0.001691
-17.0,422962,479448.000000,-18620.000000,-0.038836,0.001414
-16.5,502256,568746.000000,-21043.000000,-0.036999,0.001299
-16.0,600705,681078.000000,-21983.000000,-0.032277,0.001187
-15.5,740806,838484.000000,-27688.000000,-0.033022,0.001070
-15.0,920373,1040442.000000,-34185.500000,-0.032857,0.000961
-14.5,1105747,1249101.000000,-40175.500000,-0.032164,0.000877
-14.0,1355926,1530298.000000,-46355.500000,-0.030292,0.000793
-13.5,1604884,1809440.000000,-53914.500000,-0.029796,0.000729
-13.0,2062777,2324094.000000,-67949.500000,-0.029237,0.000643
-12.5,2368835,2666830.000000,-74531.500000,-0.027948,0.000601
-12.0,2844564,3199845.000000,-84562.000000,-0.026427,0.000548
-11.5,3397379,3818123.000000,-94975.500000,-0.024875,0.000502
-11.0,4039191,4537037.000000,-113666.500000,-0.025053,0.000461
-10.5,4805821,5392782.000000,-127005.500000,-0.023551,0.000423
-10.0,5792900,6497512.000000,-145951.500000,-0.022463,0.000385
-9.5,6654752,7458260.000000,-160681.000000,-0.021544,0.000359
-9.0,7967174,8923956.000000,-182848.500000,-0.020490,0.000329
-8.5,9205117,10301042.000000,-207780.500000,-0.020171,0.000306
-8.0,10944996,12237810.000000,-229507.500000,-0.018754,0.000281
-7.5,12639791,14122104.000000,-254598.000000,-0.018028,0.000261
-7.0,14861654,16595504.000000,-280890.500000,-0.016926,0.000241
-6.5,17297505,19298857.000000,-315170.000000,-0.016331,0.000224
-6.0,19954905,22248129.000000,-337826.000000,-0.015184,0.000208
-5.5,23240227,25892750.000000,-370323.500000,-0.014302,0.000193
-5.0,26841397,29881198.000000,-398988.000000,-0.013352,0.000180
-4.5,30937776,34417324.000000,-440119.500000,-0.012788,0.000167
-4.0,35685523,39669785.000000,-464992.000000,-0.011722,0.000156
-3.5,41342017,45927452.000000,-502972.500000,-0.010951,0.000145
-3.0,46859907,52016872.000000,-514835.000000,-0.009897,0.000136
-2.5,54131866,60046112.000000,-560831.500000,-0.009340,0.000127
-2.0,62276701,69033836.000000,-573533.000000,-0.008308,0.000118
-1.5,71691702,79409930.000000,-601515.000000,-0.007575,0.000110
-1.0,78982200,87424992.000000,-595577.500000,-0.006812,0.000105
-0.5,85383904,94457168.000000,-553334.500000,-0.005858,0.000101
0.0,143227267,158345980.000000,-828413.000000,-0.005232,0.000078
0.5,81564464,90182924.000000,-410473.000000,-0.004552,0.000104
1.0,74423888,82317014.000000,-287399.000000,-0.003491,0.000108
1.5,66311814,73327114.000000,-178116.000000,-0.002429,0.000115
2.0,58311049,64434461.000000,-109976.000000,-0.001707,0.000123
2.5,51022015,56337422.000000,-63233.000000,-0.001122,0.000131
3.0,44013959,48563808.000000,-14673.000000,-0.000302,0.000141
3.5,38680023,42654163.000000,32210.000000,0.000755,0.000151
4.0,33429068,36832588.000000,62216.500000,0.001689,0.000162
4.5,28970686,31898689.000000,74175.000000,0.002325,0.000174
5.0,25095293,27616001.000000,87084.500000,0.003153,0.000187
5.5,21734027,23897993.000000,101461.500000,0.004246,0.000201
6.0,18620708,20458070.000000,97185.000000,0.004750,0.000218
6.5,16131880,17712933.000000,108342.500000,0.006117,0.000234
7.0,13853611,15201299.500000,95727.500000,0.006297,0.000253
7.5,11766700,12890840.500000,93457.000000,0.007250,0.000275
8.0,10318076,11263266.500000,96923.500000,0.008605,0.000294
8.5,8752120,9502559.500000,83416.500000,0.008778,0.000321
9.0,7666093,8266416.500000,77899.000000,0.009424,0.000345
9.5,6494990,6940200.500000,77734.500000,0.011201,0.000379
10.0,5699493,6058008.000000,73122.000000,0.012070,0.000406
10.5,4757523,5045543.500000,63521.000000,0.012590,0.000446
11.0,4021089,4256415.000000,57293.500000,0.013461,0.000486
11.5,3377316,3585838.500000,49127.000000,0.013700,0.000530
12.0,2822601,2995805.000000,44322.500000,0.014795,0.000580
12.5,2348038,2490696.500000,39505.500000,0.015861,0.000636
13.0,2043651,2166632.500000,37271.000000,0.017202,0.000682
13.5,1585230,1678637.000000,28470.500000,0.016960,0.000775
14.0,1337637,1416093.000000,25206.000000,0.017800,0.000843
14.5,1089742,1153137.500000,23711.500000,0.020563,0.000934
15.0,904617,955722.500000,18231.000000,0.019076,0.001027
15.5,728396,769533.000000,15733.000000,0.020445,0.001145
16.0,588017,620814.000000,11683.000000,0.018819,0.001274
16.5,489653,517048.500000,11335.500000,0.021923,0.001395
17.0,412724,435013.000000,10065.500000,0.023138,0.001522
17.5,287586,302961.000000,6921.000000,0.022845,0.001823
18.0,254108,267716.000000,6904.000000,0.025789,0.001941
18.5,197017,207054.500000,5092.500000,0.024595,0.002208
19.0,161377,169666.000000,5113.000000,0.030136,0.002439
19.5,125413,131735.500000,3026.000000,0.022970,0.002768
20.0,97918,102815.500000,3127.500000,0.030419,0.003136
20.5,79661,83500.000000,2424.500000,0.029036,0.003473
21.0,58585,61429.000000,2301.500000,0.037466,0.004046
21.5,47211,49499.000000,1177.500000,0.023788,0.004512
22.0,37777,39614.500000,798.000000,0.020144,0.005052
22.5,26298,27551.500000,802.500000,0.029127,0.006070
23.0,22241,23302.500000,985.500000,0.042292,0.006595
23.5,16050,16763.000000,793.000000,0.047307,0.007791
24.0,13034,13652.500000,204.500000,0.014979,0.008601
24.5,9278,9706.000000,348.000000,0.035854,0.010218
25.0,7151,7455.000000,365.000000,0.048960,0.011646
25.5,5133,5346.500000,270.500000,0.050594,0.013757
26.0,3904,4084.000000,181.500000,0.044442,0.015684
26.5,2817,2922.000000,109.500000,0.037474,0.018666
27.0,2286,2392.500000,45.500000,0.019018,0.020373
27.5,1545,1621.500000,31.500000,0.019426,0.025029
28.0,1249,1303.000000,56.500000,0.043361,0.027984
28.5,877,897.500000,-12.000000,-0.013370,0.033326
29.0,634,655.000000,-23.000000,-0.035115,0.039391
29.5,490,501.000000,3.000000,0.005988,0.044698
30.0,347,366.500000,-3.500000,-0.009550,0.053431
30.5,223,231.500000,13.000000,0.056156,0.066888
31.0,169,169.500000,-1.000000,-0.005900,0.076240
31.5,111,126.500000,17.500000,0.138340,0.087967
32.0,86,88.500000,5.500000,0.062147,0.109060
32.5,57,60.500000,11.500000,0.190083,0.125679
33.0,55,55.000000,-3.500000,-0.063636,0.136397
33.5,30,31.500000,-3.000000,-0.095238,0.175221
34.0,19,18.500000,-8.500000,-0.459459,0.197461
34.5,10,9.500000,3.000000,0.315789,0.294034
35.0,13,12.000000,-4.000000,-0.333333,0.272166
35.5,4,5.000000,-1.000000,-0.200000,0.438178
36.0,5,6.000000,-1.000000,-0.166667,0.366414
36.5,3,3.000000,1.500000,0.500000,0.623610
37.0,1,1.000000,1.000000,1.000000,0.000000
37.5,1,1.000000,1.000000,1.000000,0.000000
38.0,2,2.000000,2.000000,1.000000,0.000000
