TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-44.0,1,2.000000,-2.000000,-1.000000,0.000000
-43.0,7,10.000000,1.000000,0.100000,0.298329
-42.5,3,4.000000,0.000000,0.000000,0.500000
-42.0,4,4.000000,-2.000000,-0.500000,0.433013
-41.5,8,8.000000,-5.000000,-0.625000,0.171163
-41.0,9,11.000000,-3.000000,-0.272727,0.290081
-40.5,8,12.000000,-6.000000,-0.500000,0.250000
-40.0,16,21.000000,5.000000,0.238095,0.200959
-39.5,18,22.000000,-5.000000,-0.227273,0.202585
-39.0,36,40.000000,3.500000,0.087500,0.145653
-38.5,37,42.000000,-5.000000,-0.119048,0.147551
-38.0,50,57.000000,-3.000000,-0.052632,0.122609
-37.5,60,70.000000,-7.500000,-0.107143,0.118189
-37.0,88,101.000000,-13.500000,-0.133663,0.095710
-36.5,118,139.000000,5.000000,0.035971,0.083689
-36.0,163,182.000000,-6.500000,-0.035714,0.071643
-35.5,182,206.000000,-40.500000,-0.196602,0.066611
-35.0,295,330.000000,-3.500000,-0.010606,0.053886
-34.5,309,341.000000,27.500000,0.080645,0.052421
-34.0,492,571.000000,-4.500000,-0.007881,0.040554
-33.5,614,712.000000,-49.000000,-0.068820,0.036358
-33.0,824,964.000000,-61.000000,-0.063278,0.031424
-32.5,1058,1206.000000,-71.500000,-0.059287,0.027972
-32.0,1407,1619.000000,-135.500000,-0.083694,0.024060
-31.5,1809,2071.000000,-86.000000,-0.041526,0.021292
-31.0,2299,2647.000000,-166.500000,-0.062901,0.018843
-30.5,2904,3308.000000,-142.000000,-0.042926,0.016922
-30.0,4074,4674.000000,-188.500000,-0.040329,0.014205
-29.5,4751,5481.000000,-231.000000,-0.042146,0.013133
-29.0,6014,6851.000000,-473.000000,-0.069041,0.011696
-28.5,7931,9113.000000,-599.000000,-0.065730,0.010184
-28.0,10504,12008.000000,-881.000000,-0.073368,0.008880
-27.5,12712,14520.000000,-915.500000,-0.063051,0.008073
-27.0,16565,18915.000000,-951.000000,-0.050278,0.007078
-26.5,20445,23401.000000,-881.000000,-0.037648,0.006356
-26.0,23883,27265.000000,-1445.500000,-0.053017,0.005892
-25.5,31407,35881.000000,-1779.000000,-0.049581,0.005148
-25.0,40353,46096.000000,-2292.500000,-0.049733,0.004542
-24.5,48437,55166.000000,-2293.000000,-0.041565,0.004143
-24.0,62546,71157.000000,-3507.000000,-0.049285,0.003654
-23.5,74424,84687.000000,-3844.000000,-0.045391,0.003349
-23.0,94582,107555.000000,-4450.000000,-0.041374,0.002973
-22.5,106223,121039.000000,-5798.000000,-0.047902,0.002801
-22.0,143139,162587.000000,-5641.500000,-0.034698,0.002418
-21.5,168775,191674.000000,-8348.000000,-0.043553,0.002227
-21.0,198973,225813.000000,-8581.500000,-0.038003,0.002053
-20.5,255815,290083.000000,-11181.500000,-0.038546,0.001812
-20.0,299125,339012.000000,-13058.500000,-0.038519,0.001676
-19.5,363183,411322.000000,-14961.500000,-0.036374,0.001522
-19.0,440140,498098.000000,-15874.000000,-0.031869,0.001383
-18.5,515575,583095.000000,-20953.000000,-0.035934,0.001278
