TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-27.5,2,2.000000,-2.000000,-1.000000,0.000000
-27.0,3,3.000000,-1.000000,-0.333333,0.544331
-26.5,4,5.000000,3.000000,0.600000,0.357771
-26.0,6,7.000000,-1.000000,-0.142857,0.374088
-25.5,23,26.000000,2.500000,0.096154,0.199888
-25.0,34,38.000000,-14.500000,-0.381579,0.150523
-24.5,40,41.000000,-9.000000,-0.219512,0.144345
-24.0,87,100.000000,-5.000000,-0.050000,0.093941
-23.5,147,167.000000,12.000000,0.071856,0.075420
-23.0,222,250.000000,-32.000000,-0.128000,0.060584
-22.5,284,322.000000,23.500000,0.072981,0.054329
-22.0,469,526.000000,-9.500000,-0.018061,0.042514
-21.5,776,883.000000,20.500000,0.023216,0.032642
-21.0,1190,1355.000000,-72.500000,-0.053506,0.026237
-20.5,1767,2016.000000,68.000000,0.033730,0.021770
-20.0,2702,3024.000000,-70.000000,-0.023148,0.017745
-19.5,3907,4428.000000,-51.500000,-0.011631,0.014684
-19.0,6089,6857.000000,0.000000,0.000000,0.011831
-18.5,8629,9742.000000,-301.500000,-0.030948,0.009865
-18.0,13006,14672.000000,-333.000000,-0.022696,0.008081
-17.5,18404,20749.000000,-542.500000,-0.026146,0.006791
-17.0,25854,29205.000000,-531.500000,-0.018199,0.005718
-16.5,38001,42973.000000,-1330.500000,-0.030961,0.004717
-16.0,50803,57108.000000,-1362.000000,-0.023850,0.004085
-15.5,73805,83194.000000,-2529.500000,-0.030405,0.003388
-15.0,102281,115317.000000,-3188.500000,-0.027650,0.002880
-14.5,138355,155646.000000,-4084.500000,-0.026242,0.002479
-14.0,195756,220168.000000,-5326.000000,-0.024191,0.002083
-13.5,256612,288743.000000,-7250.500000,-0.025111,0.001820
-13.0,355475,399687.000000,-9806.000000,-0.024534,0.001547
-12.5,468356,525888.000000,-11979.500000,-0.022780,0.001349
-12.0,626937,703146.000000,-14217.000000,-0.020219,0.001167
-11.5,828800,930067.000000,-19581.500000,-0.021054,0.001015
-11.0,1076940,1206869.000000,-25826.500000,-0.021400,0.000891
-10.5,1432428,1603654.000000,-32203.000000,-0.020081,0.000773
-10.0,1839175,2058620.000000,-42351.500000,-0.020573,0.000682
-9.5,2309527,2583561.000000,-48386.500000,-0.018729,0.000609
-9.0,3009770,3364039.000000,-57447.000000,-0.017077,0.000534
-8.5,3747532,4186379.000000,-67048.000000,-0.016016,0.000479
-8.0,4759964,5314495.000000,-87470.500000,-0.016459,0.000425
-7.5,5930540,6617747.000000,-97406.500000,-0.014719,0.000381
-7.0,7397948,8248179.000000,-124547.500000,-0.015100,0.000341
-6.5,9143794,10189801.000000,-140050.000000,-0.013744,0.000307
-6.0,11202980,12473856.000000,-161603.500000,-0.012955,0.000278
-5.5,13790143,15347953.000000,-179763.000000,-0.011713,0.000250
-5.0,16716828,18591912.000000,-205677.000000,-0.011063,0.000228
-4.5,20169297,22418833.000000,-222078.000000,-0.009906,0.000207
-4.0,24476341,27189164.000000,-265145.000000,-0.009752,0.000188
-3.5,29431185,32674299.000000,-296092.000000,-0.009062,0.000172
-3.0,34736744,38543182.000000,-319867.500000,-0.008299,0.000158
-2.5,41347045,45847436.000000,-335531.500000,-0.007318,0.000145
-2.0,48995145,54293941.000000,-363145.500000,-0.006689,0.000133
-1.5,59030175,65373393.000000,-395046.000000,-0.006043,0.000121
-1.0,69009650,76384317.000000,-392014.500000,-0.005132,0.000112
-0.5,78330791,86651322.000000,-394119.500000,-0.004548,0.000106
0.0,105961553,117146008.000000,-463582.000000,-0.003957,0.000091
0.5,75567063,83496061.000000,-267111.500000,-0.003199,0.000108
1.0,64411546,71146883.000000,-173612.000000,-0.002440,0.000117
1.5,55389170,61235113.000000,-96580.500000,-0.001577,0.000126
2.0,46366119,51266538.000000,-41825.500000,-0.000816,0.000137
2.5,38935877,43024684.000000,-1180.000000,-0.000027,0.000150
3.0,32627654,36031961.000000,35316.000000,0.000980,0.000164
3.5,27614389,30480365.000000,43226.000000,0.001418,0.000178
4.0,22908073,25269416.000000,46635.500000,0.001846,0.000196
4.5,18836268,20762161.000000,64727.000000,0.003118,0.000216
5.0,15579770,17163028.000000,65214.500000,0.003800,0.000238
5.5,12838385,14134068.000000,58447.500000,0.004135,0.000262
6.0,10399616,11443690.000000,56225.500000,0.004913,0.000291
6.5,8467035,9309215.000000,51691.000000,0.005553,0.000323
7.0,6829228,7504117.000000,48587.500000,0.006475,0.000360
7.5,5457329,5993896.000000,42675.500000,0.007120,0.000403
8.0,4363657,4790620.000000,37424.000000,0.007812,0.000451
8.5,3423620,3759653.000000,35411.500000,0.009419,0.000509
9.0,2744400,3021310.000000,31229.500000,0.010336,0.000568
9.5,2098764,2320883.000000,24547.500000,0.010577,0.000648
10.0,1668472,1849871.000000,21018.500000,0.011362,0.000725
10.5,1299179,1437287.500000,16095.000000,0.011198,0.000824
11.0,988442,1086282.500000,13358.000000,0.012297,0.000950
11.5,767952,838086.000000,12711.500000,0.015167,0.001085
12.0,594837,640229.000000,7973.500000,0.012454,0.001249
12.5,446870,476838.000000,7583.500000,0.015904,0.001452
13.0,344703,365313.000000,5452.500000,0.014926,0.001665
13.5,249111,263269.000000,4327.500000,0.016438,0.001963
14.0,187565,198090.000000,3256.000000,0.016437,0.002264
14.5,132215,139896.500000,2342.500000,0.016745,0.002693
15.0,97747,103004.500000,2827.000000,0.027445,0.003137
15.5,70279,73874.500000,820.500000,0.011107,0.003708
16.0,48601,51281.000000,1018.500000,0.019861,0.004452
16.5,35924,37797.500000,987.000000,0.026113,0.005192
17.0,24418,25639.000000,748.500000,0.029194,0.006298
17.5,17352,18140.500000,350.000000,0.019294,0.007512
18.0,12115,12694.500000,283.500000,0.022333,0.008955
18.5,7760,8147.000000,143.000000,0.017552,0.011222
19.0,5268,5493.000000,104.500000,0.019024,0.013564
19.5,3473,3626.500000,104.000000,0.028678,0.016707
20.0,2437,2515.000000,75.500000,0.030020,0.020169
20.5,1603,1675.000000,8.500000,0.005075,0.024492
21.0,1015,1074.500000,3.000000,0.002792,0.031038
21.5,651,682.500000,9.500000,0.013919,0.038568
22.0,452,468.500000,53.000000,0.113127,0.047104
22.5,285,292.500000,16.000000,0.054701,0.059695
23.0,182,184.500000,-20.000000,-0.108401,0.075411
23.5,99,100.500000,-11.500000,-0.114428,0.100090
24.0,73,74.000000,-1.500000,-0.020270,0.115633
24.5,33,33.500000,8.000000,0.238806,0.165098
25.0,25,27.500000,7.500000,0.272727,0.182560
25.5,23,27.000000,8.500000,0.314815,0.180777
26.0,8,10.000000,2.000000,0.200000,0.309839
26.5,10,10.500000,4.500000,0.428571,0.262059
27.0,6,6.000000,-1.500000,-0.250000,0.437004
27.5,2,2.000000,-2.000000,-1.000000,0.000000
28.0,3,3.000000,1.500000,0.500000,0.623610
29.0,2,2.000000,0.000000,0.000000,0.707107
29.5,1,1.000000,1.000000,1.000000,0.000000
