TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-30.5,2,3.000000,-3.000000,-1.000000,0.000000
-30.0,2,2.000000,0.000000,0.000000,0.707107
-29.5,3,4.000000,-2.000000,-0.500000,0.250000
-29.0,1,2.000000,2.000000,1.000000,0.000000
-28.5,3,5.000000,1.000000,0.200000,0.438178
-28.0,10,11.000000,3.000000,0.272727,0.290081
-27.5,12,15.000000,-3.000000,-0.200000,0.252982
-27.0,12,13.000000,-2.000000,-0.153846,0.263031
-26.5,20,24.000000,5.000000,0.208333,0.195249
-26.0,61,65.000000,-6.500000,-0.100000,0.120747
-25.5,62,70.000000,1.500000,0.021429,0.117992
-25.0,102,122.000000,-11.000000,-0.090164,0.088853
-24.5,159,181.000000,16.000000,0.088398,0.072265
-24.0,285,336.000000,-50.000000,-0.148810,0.052110
-23.5,397,469.000000,-34.500000,-0.073561,0.044199
-23.0,543,642.000000,-72.000000,-0.112150,0.038199
-22.5,821,962.000000,-38.000000,-0.039501,0.031133
-22.0,1307,1496.000000,-151.000000,-0.100936,0.025027
-21.5,2070,2389.000000,-227.000000,-0.095019,0.019831
-21.0,2829,3252.000000,-254.500000,-0.078260,0.017085
-20.5,4289,4925.000000,-415.000000,-0.084264,0.013755
-20.0,6069,7019.000000,-642.000000,-0.091466,0.011522
-19.5,9256,10673.000000,-656.500000,-0.061510,0.009409
-19.0,13424,15579.000000,-767.000000,-0.049233,0.007806
-18.5,16986,19515.000000,-1148.000000,-0.058827,0.006961
-18.0,27501,31678.000000,-1837.500000,-0.058006,0.005472
-17.5,33862,38800.000000,-2010.500000,-0.051817,0.004942
-17.0,51141,58651.000000,-3062.500000,-0.052216,0.004015
-16.5,75653,86837.000000,-4141.500000,-0.047693,0.003307
-16.0,94055,107636.000000,-5107.000000,-0.047447,0.002968
-15.5,128994,147403.000000,-7003.000000,-0.047509,0.002539
-15.0,180337,205873.000000,-9468.000000,-0.045990,0.002148
-14.5,244661,278629.000000,-12301.500000,-0.044150,0.001848
-14.0,328179,374258.000000,-15780.000000,-0.042163,0.001595
-13.5,406072,461996.000000,-18041.500000,-0.039051,0.001436
-13.0,566124,643825.000000,-26035.000000,-0.040438,0.001216
-12.5,719098,816256.000000,-31386.500000,-0.038452,0.001081
-12.0,979372,1110817.000000,-39805.000000,-0.035834,0.000927
-11.5,1240784,1405231.000000,-50173.000000,-0.035704,0.000824
-11.0,1573987,1780903.000000,-62400.500000,-0.035039,0.000732
-10.5,1982702,2240826.000000,-72583.500000,-0.032391,0.000653
-10.0,2701954,3048853.000000,-95205.500000,-0.031227,0.000560
-9.5,3220583,3631791.000000,-102898.500000,-0.028333,0.000513
-9.0,3929030,4423947.000000,-123053.000000,-0.027815,0.000465
-8.5,5190846,5840546.000000,-151472.000000,-0.025935,0.000405
-8.0,6281792,7060497.000000,-174436.500000,-0.024706,0.000368
-7.5,7780492,8733464.000000,-209292.500000,-0.023964,0.000331
-7.0,9759830,10946008.000000,-239917.000000,-0.021918,0.000296
-6.5,11970330,13407829.000000,-284090.000000,-0.021188,0.000268
-6.0,14218034,15909917.000000,-301751.500000,-0.018966,0.000246
-5.5,17622480,19699210.000000,-362785.000000,-0.018416,0.000221
-5.0,21739228,24273795.000000,-402802.500000,-0.016594,0.000199
-4.5,25294553,28213580.000000,-435626.000000,-0.015440,0.000185
-4.0,30463117,33945905.000000,-484921.500000,-0.014285,0.000168
-3.5,36865687,41033031.000000,-536765.500000,-0.013081,0.000153
-3.0,43536088,48408668.000000,-571868.500000,-0.011813,0.000141
-2.5,50740806,56365551.000000,-620104.000000,-0.011001,0.000131
-2.0,62904290,69807613.000000,-653032.000000,-0.009355,0.000118
-1.5,76058279,84315463.000000,-695600.500000,-0.008250,0.000107
-1.0,88916298,98496081.000000,-701703.500000,-0.007124,0.000099
-0.5,102631713,113666227.000000,-654638.000000,-0.005759,0.000092
0.0,135862144,150456517.000000,-725266.500000,-0.004820,0.000080
0.5,99028501,109631477.000000,-389852.000000,-0.003556,0.000094
1.0,82252945,90958168.000000,-212008.000000,-0.002331,0.000103
1.5,69417647,76683091.000000,-61981.000000,-0.000808,0.000112
2.0,58582961,64645417.000000,10527.000000,0.000163,0.000122
2.5,47389707,52240254.000000,87688.000000,0.001679,0.000136
3.0,40016148,44066925.000000,126621.000000,0.002873,0.000148
3.5,34243500,37670052.500000,146840.000000,0.003898,0.000161
4.0,28289009,31004584.500000,159867.000000,0.005156,0.000177
4.5,23588199,25785578.000000,155387.000000,0.006026,0.000195
5.0,20527781,22391572.500000,161906.000000,0.007231,0.000210
5.5,16952092,18313998.500000,156256.500000,0.008532,0.000233
6.0,13845285,14854368.500000,139856.000000,0.009415,0.000260
6.5,11698267,12489930.500000,127922.500000,0.010242,0.000284
7.0,9581142,10178043.000000,128707.500000,0.012646,0.000315
7.5,7659600,8111498.500000,112116.000000,0.013822,0.000354
8.0,6158224,6512839.500000,96700.000000,0.014848,0.000395
8.5,5072499,5359002.500000,83109.000000,0.015508,0.000435
9.0,3813459,4022904.500000,69631.500000,0.017309,0.000503
9.5,3142060,3310379.500000,62109.000000,0.018762,0.000554
10.0,2622681,2760459.000000,54352.000000,0.019689,0.000607
10.5,1913111,2011129.000000,45807.000000,0.022777,0.000712
11.0,1521396,1596655.500000,37933.000000,0.023758,0.000799
11.5,1190779,1248292.500000,31189.000000,0.024985,0.000904
12.0,937786,981881.000000,25552.500000,0.026024,0.001020
12.5,683610,715454.000000,19234.500000,0.026884,0.001195
13.0,537236,561496.000000,17713.500000,0.031547,0.001350
13.5,383987,400726.000000,11900.000000,0.029696,0.001599
14.0,309099,321986.000000,10272.000000,0.031902,0.001784
14.5,228965,238677.000000,8784.500000,0.036805,0.002073
15.0,168010,174459.500000,5684.500000,0.032583,0.002426
15.5,119518,124415.000000,4682.000000,0.037632,0.002869
