TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-19.0,1,1.000000,-1.000000,-1.000000,0.000000
-18.0,6,8.000000,-1.500000,-0.187500,0.374348
-17.5,23,26.000000,-1.000000,-0.038462,0.192160
-17.0,39,44.000000,2.500000,0.056818,0.149220
-16.5,94,104.000000,2.500000,0.024038,0.096485
-16.0,197,225.000000,26.000000,0.115556,0.065696
-15.5,333,382.000000,-48.000000,-0.125654,0.049077
-15.0,639,734.000000,-57.500000,-0.078338,0.035690
-14.5,1168,1332.000000,-21.500000,-0.016141,0.026717
-14.0,2253,2587.000000,-165.500000,-0.063974,0.019202
-13.5,4272,4872.000000,11.500000,0.002360,0.014009
-13.0,7313,8293.000000,-473.000000,-0.057036,0.010699
-12.5,13267,15036.000000,-496.500000,-0.033021,0.007965
-12.0,23546,26744.000000,-1126.000000,-0.042103,0.005974
-11.5,39031,44196.000000,-963.000000,-0.021789,0.004650
-11.0,68329,77293.000000,-2088.500000,-0.027021,0.003513
-10.5,108914,123062.000000,-3680.000000,-0.029904,0.002788
-10.0,186168,210268.000000,-6748.000000,-0.032092,0.002132
-9.5,286021,322769.000000,-8484.500000,-0.026287,0.001721
-9.0,455905,513447.000000,-13739.000000,-0.026758,0.001365
-8.5,717847,808178.000000,-20313.500000,-0.025135,0.001088
-8.0,1063852,1195967.000000,-29202.000000,-0.024417,0.000895
-7.5,1647920,1850304.000000,-42975.500000,-0.023226,0.000719
-7.0,2401958,2694025.000000,-58230.500000,-0.021615,0.000596
-6.5,3462929,3880048.000000,-79607.500000,-0.020517,0.000497
-6.0,5139882,5753253.000000,-106188.000000,-0.018457,0.000408
-5.5,7126619,7967504.000000,-141798.500000,-0.017797,0.000347
-5.0,9958816,11123244.000000,-174291.000000,-0.015669,0.000294
-4.5,13928929,15541870.000000,-227285.500000,-0.014624,0.000249
-4.0,18816149,20972463.000000,-276933.000000,-0.013205,0.000214
-3.5,25952949,28895191.000000,-345773.000000,-0.011966,0.000182
-3.0,33904633,37709744.000000,-420266.500000,-0.011145,0.000160
-2.5,45255945,50283195.000000,-479101.500000,-0.009528,0.000138
-2.0,59528919,66074201.000000,-559497.500000,-0.008468,0.000121
-1.5,76567853,84905169.000000,-615931.500000,-0.007254,0.000107
-1.0,102958009,114052308.000000,-672692.500000,-0.005898,0.000092
-0.5,130486365,144392546.000000,-699305.500000,-0.004843,0.000082
0.0,159449594,176279228.000000,-639861.500000,-0.003630,0.000074
0.5,124449515,137480009.000000,-360750.500000,-0.002624,0.000084
1.0,97008218,107238940.000000,-132920.500000,-0.001239,0.000095
1.5,72526614,80139638.000000,21445.000000,0.000268,0.000110
2.0,56157927,61990377.000000,76176.000000,0.001229,0.000125
2.5,42607075,46984096.000000,112572.000000,0.002396,0.000144
3.0,31824654,35058663.000000,127203.000000,0.003628,0.000166
3.5,24270880,26711897.000000,126278.000000,0.004727,0.000191
4.0,17532924,19274096.000000,111669.500000,0.005794,0.000225
4.5,12934915,14205773.000000,103879.500000,0.007312,0.000262
5.0,9197845,10097256.000000,87780.000000,0.008693,0.000310
5.5,6567349,7237949.000000,67278.500000,0.009295,0.000367
6.0,4792312,5260319.000000,50688.500000,0.009636,0.000432
6.5,3314003,3583159.500000,36937.500000,0.010309,0.000527
7.0,2343421,2500176.500000,33726.500000,0.013490,0.000634
7.5,1620497,1717313.000000,24028.000000,0.013992,0.000768
8.0,1039822,1100318.000000,16927.000000,0.015384,0.000959
8.5,698408,737795.000000,12880.000000,0.017457,0.001172
9.0,442154,466654.000000,8165.500000,0.017498,0.001474
9.5,275390,290420.000000,5028.000000,0.017313,0.001870
10.0,176909,186168.500000,4079.500000,0.021913,0.002339
10.5,102962,108318.500000,2458.500000,0.022697,0.003065
11.0,64006,67221.500000,1727.000000,0.025691,0.003893
11.5,36478,38281.500000,714.000000,0.018651,0.005169
12.0,21783,22921.000000,851.500000,0.037149,0.006658
12.5,12413,12975.500000,85.500000,0.006589,0.008857
13.0,6880,7185.000000,91.000000,0.012665,0.011923
13.5,4017,4202.500000,109.000000,0.025937,0.015680
14.0,2057,2152.500000,63.000000,0.029268,0.021681
14.5,1078,1110.000000,33.500000,0.030180,0.030697
15.0,568,589.500000,-38.000000,-0.064461,0.041761
15.5,256,279.000000,-22.500000,-0.080645,0.060502
16.0,119,127.500000,20.500000,0.160784,0.087585
16.5,75,78.000000,14.500000,0.185897,0.111990
17.0,31,30.500000,6.000000,0.196721,0.173708
17.5,17,18.500000,1.000000,0.054054,0.215851
18.0,8,7.500000,0.000000,-0.000000,0.352767
18.5,5,6.000000,0.000000,-0.000000,0.408248
19.0,1,1.000000,-1.000000,-1.000000,0.000000
19.5,2,2.000000,-2.000000,-1.000000,0.000000
