TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-32.5,1,1.000000,1.000000,1.000000,0.000000
-32.0,1,1.000000,-1.000000,-1.000000,0.000000
-31.0,1,1.000000,1.000000,1.000000,0.000000
-30.5,5,6.000000,-6.000000,-1.000000,0.000000
-30.0,12,16.000000,-6.000000,-0.375000,0.214239
-29.5,11,12.000000,-6.000000,-0.500000,0.220479
-29.0,29,34.000000,4.500000,0.132353,0.168071
-28.5,22,28.000000,1.000000,0.035714,0.185454
-28.0,41,50.000000,-6.000000,-0.120000,0.134581
-27.5,54,68.000000,5.000000,0.073529,0.117769
-27.0,129,148.000000,-29.000000,-0.195946,0.080606
-26.5,139,167.000000,-7.000000,-0.041916,0.074359
-26.0,266,309.000000,-77.000000,-0.249191,0.053060
-25.5,335,406.000000,-48.500000,-0.119458,0.047853
-25.0,600,713.000000,-82.000000,-0.115007,0.036088
-24.5,693,800.000000,-41.000000,-0.051250,0.034390
-24.0,1190,1415.000000,-113.500000,-0.080212,0.025707
-23.5,1695,1980.000000,-273.500000,-0.138131,0.021540
-23.0,2402,2844.000000,-180.500000,-0.063467,0.018194
-22.5,3261,3802.000000,-267.500000,-0.070358,0.015735
-22.0,4763,5564.000000,-407.000000,-0.073149,0.012987
-21.5,6510,7600.000000,-487.500000,-0.064145,0.011165
-21.0,9175,10694.000000,-896.500000,-0.083832,0.009406
-20.5,12814,14966.000000,-1071.000000,-0.071562,0.007945
-20.0,18446,21463.000000,-1393.500000,-0.064926,0.006636
-19.5,23452,27304.000000,-1611.500000,-0.059021,0.005880
-19.0,33257,38498.000000,-2373.500000,-0.061653,0.004957
-18.5,47225,54819.000000,-3297.000000,-0.060143,0.004158
-18.0,57109,66058.000000,-3562.000000,-0.053922,0.003783
-17.5,81904,94639.000000,-5532.000000,-0.058454,0.003166
-17.0,113811,131168.000000,-7248.500000,-0.055261,0.002688
-16.5,148395,170760.000000,-9417.000000,-0.055148,0.002360
-16.0,188832,217138.000000,-12294.500000,-0.056621,0.002090
-15.5,254520,292599.000000,-13946.000000,-0.047663,0.001802
-15.0,327559,375684.000000,-16519.500000,-0.043972,0.001591
-14.5,424503,486201.000000,-23262.500000,-0.047845,0.001398
