TrueCount,HandsPlayed,TotalPayout,EV,StdError
-18.5,1,-3.000000,-3.000000,0.000000
-18.0,5,9.000000,1.800000,1.073313
-17.5,9,-18.000000,-2.000000,1.247219
-17.0,11,-6.000000,-0.545455,1.380883
-16.5,42,-3.000000,-0.071429,0.566840
-16.0,29,27.000000,0.931034,0.651863
-15.5,169,-79.500000,-0.470414,0.276202
-15.0,292,-105.000000,-0.359589,0.212253
-14.5,407,-228.000000,-0.560197,0.176336
-14.0,1334,-436.500000,-0.327211,0.097142
-13.5,924,-246.000000,-0.266234,0.115304
-13.0,4228,-1117.500000,-0.264309,0.054927
-12.5,4997,-1633.500000,-0.326896,0.050355
-12.0,9331,-2815.500000,-0.301736,0.036657
-11.5,18027,-3048.000000,-0.169080,0.026465
-11.0,20948,-4387.500000,-0.209447,0.024322
-10.5,52197,-12154.500000,-0.232858,0.015387
-10.0,90106,-18862.500000,-0.209337,0.011679
-9.5,100850,-17530.500000,-0.173827,0.011041
-9.0,214193,-38571.000000,-0.180076,0.007566
-8.5,268782,-42607.500000,-0.158521,0.006724
-8.0,438536,-67243.500000,-0.153336,0.005253
-7.5,618855,-89329.500000,-0.144346,0.004418
-7.0,898669,-119253.000000,-0.132700,0.003659
-6.5,1371823,-165780.000000,-0.120846,0.002956
-6.0,1847386,-200986.500000,-0.108795,0.002541
-5.5,2771085,-280720.500000,-0.101303,0.002069
-5.0,3550767,-322185.000000,-0.090737,0.001824
-4.5,4704747,-397426.500000,-0.084474,0.001583
-4.0,7339479,-556699.500000,-0.075850,0.001264
-3.5,8446743,-547609.500000,-0.064831,0.001176
-3.0,12141832,-708229.500000,-0.058330,0.000979
-2.5,15621774,-752331.000000,-0.048159,0.000862
-2.0,19006590,-779058.000000,-0.040989,0.000780
-1.5,27127553,-847852.500000,-0.031254,0.000652
-1.0,26624285,-691240.500000,-0.025963,0.000658
-0.5,36626897,-695370.000000,-0.018985,0.000560
0.0,95688935,-980076.000000,-0.010242,0.000346
0.5,34255273,-7770.000000,-0.000227,0.000577
1.0,21817112,151237.500000,0.006932,0.000722
1.5,23795882,314337.000000,0.013210,0.000690
2.0,16084746,393136.500000,0.024572,0.000841
2.5,14136174,716731.500000,0.051217,0.001295
3.0,11095695,1136790.000000,0.104288,0.002033
3.5,6927041,1223748.000000,0.182780,0.003218
4.0,6410581,1688395.500000,0.274224,0.003982
4.5,3859712,1410738.000000,0.384069,0.006058
5.0,3156630,1420350.000000,0.474772,0.007526
5.5,2349871,1321500.000000,0.594645,0.009925
6.0,1544274,1060072.500000,0.727683,0.013378
6.5,1168070,911766.000000,0.826977,0.016726
7.0,740588,669528.000000,0.957466,0.023049
7.5,518456,523440.000000,1.071417,0.029234
8.0,340661,405982.500000,1.263861,0.039482
8.5,243562,321219.000000,1.394913,0.049137
9.0,170799,284472.000000,1.764019,0.063416
9.5,72688,118738.500000,1.731879,0.101593
10.0,78246,148297.500000,2.009940,0.105246
10.5,39790,74926.500000,2.012400,0.157858
11.0,15257,31995.000000,2.217805,0.261661
11.5,14488,29985.000000,2.190156,0.285184
12.0,6434,18348.000000,2.990822,0.443209
12.5,4120,11868.000000,3.064462,0.560818
13.0,2984,5904.000000,2.093420,0.704381
13.5,733,807.000000,1.180911,1.495379
14.0,890,1560.000000,2.013685,1.401133
14.5,267,291.000000,1.372546,2.573383
15.0,205,1974.000000,10.276208,3.050984
15.5,78,1182.000000,15.651549,4.725458
16.0,25,-180.000000,-7.036364,10.274137
16.5,31,138.000000,4.551215,8.294231
17.0,8,72.000000,9.000000,18.462800
17.5,6,-99.000000,-16.500000,19.062398
18.0,6,102.000000,18.062500,21.568576
19.0,1,81.000000,81.000000,0.000000
