TrueCount,HandsPlayed,TotalPayout,EV,StdError
-9.5,1,1.000000,1.000000,0.000000
-8.0,12,2.000000,0.166667,0.284638
-7.5,25,-6.000000,-0.240000,0.248387
-7.0,86,-12.000000,-0.139535,0.124057
-6.5,177,-23.500000,-0.132768,0.083633
-6.0,455,12.000000,0.026374,0.056577
-5.5,1279,-54.500000,-0.042611,0.032754
-5.0,3169,-92.500000,-0.029189,0.020338
-4.5,7903,-273.500000,-0.034607,0.012935
-4.0,20715,-729.000000,-0.035192,0.007969
-3.5,51476,-1810.000000,-0.035162,0.005059
-3.0,102373,-2621.000000,-0.025602,0.003583
-2.5,277046,-4586.000000,-0.016553,0.002166
-2.0,643094,-10835.500000,-0.016849,0.001422
-1.5,1333269,-20370.000000,-0.015278,0.000987
-1.0,2562114,-35477.500000,-0.013847,0.000711
-0.5,4270313,-48204.000000,-0.011288,0.000550
0.0,57676132,-160295.000000,-0.002779,0.000149
0.5,8637184,-79094.500000,-0.009157,0.000386
1.0,10732575,-85220.000000,-0.007940,0.000346
1.5,11795514,-78828.500000,-0.006683,0.000330
2.0,12813711,-65095.000000,-0.005080,0.000316
2.5,12337568,-102241.500000,-0.008287,0.000613
3.0,12460531,-131990.000000,-0.010593,0.000641
3.5,12560379,-122344.000000,-0.009740,0.000872
4.0,12474667,-156390.000000,-0.012537,0.000960
4.5,10641058,-171143.500000,-0.016083,0.001250
5.0,9580425,-204540.000000,-0.021350,0.001461
5.5,11455392,-197373.500000,-0.017230,0.001501
6.0,10960182,-191785.000000,-0.017498,0.001706
6.5,10236220,-222032.500000,-0.021691,0.001965
7.0,9146961,-185613.000000,-0.020292,0.002240
7.5,9554624,-84880.500000,-0.008884,0.002378
8.0,8720617,-126847.000000,-0.014546,0.002674
8.5,7962891,-52829.500000,-0.006634,0.002943
9.0,8629548,-49628.000000,-0.005751,0.003067
9.5,7348891,64812.000000,0.008819,0.003547
10.0,7041857,32809.500000,0.004659,0.003818
10.5,6250041,67022.000000,0.010723,0.004318
11.0,5884611,202920.000000,0.034483,0.004630
11.5,5325240,230777.000000,0.043336,0.005041
12.0,5394950,284454.500000,0.052726,0.005310
12.5,4337748,309462.500000,0.071342,0.006289
13.0,3392410,268572.000000,0.079168,0.007288
13.5,3352633,377044.500000,0.112462,0.007546
14.0,2998586,336160.500000,0.112106,0.008384
14.5,2301424,255234.000000,0.110903,0.009899
15.0,2234009,385399.000000,0.172515,0.010434
15.5,1574223,290933.000000,0.184811,0.012818
16.0,1296486,257317.500000,0.198473,0.014657
16.5,1391994,305754.000000,0.219652,0.014477
17.0,744988,190472.000000,0.255671,0.020552
17.5,652303,196466.500000,0.301189,0.022595
18.0,682408,219062.000000,0.321013,0.022783
18.5,360180,104359.000000,0.289741,0.032214
19.0,274216,109665.000000,0.399922,0.037890
19.5,286496,115088.000000,0.401709,0.038259
20.0,133817,76969.000000,0.575181,0.057136
20.5,111045,52735.500000,0.474902,0.064156
21.0,87223,45140.000000,0.517524,0.074339
21.5,58884,29856.000000,0.507031,0.092121
22.0,30962,16054.500000,0.518523,0.130900
22.5,22007,7304.500000,0.331917,0.155703
23.0,17345,12815.000000,0.738830,0.181789
23.5,10960,5714.500000,0.521396,0.233329
24.0,4886,1771.000000,0.362464,0.358771
24.5,4438,5341.000000,1.203470,0.385336
25.0,1335,-48.000000,-0.035955,0.703309
25.5,1414,770.500000,0.544908,0.700875
26.0,398,775.000000,1.947236,1.359000
26.5,425,173.500000,0.408235,1.313746
27.0,113,624.000000,5.522124,2.821777
27.5,101,350.000000,3.465347,2.810593
28.0,27,94.500000,3.500000,5.458598
28.5,19,-40.500000,-2.131579,6.288741
29.0,7,-112.000000,-16.000000,11.109841
29.5,3,27.000000,9.000000,15.513435
30.0,2,-29.000000,-14.500000,10.253048
30.5,3,-58.000000,-19.333333,7.892800
