TrueCount,HandsPlayed,TotalPayout,EV,StdError
-21.0,1,-3.000000,-3.000000,0.000000
-19.0,1,-3.000000,-3.000000,0.000000
-17.0,6,-3.000000,-0.500000,1.486046
-16.5,4,-9.000000,-2.250000,1.634587
-16.0,6,-9.000000,-1.500000,0.935414
-15.5,9,1.500000,0.166667,1.012270
-15.0,17,27.000000,1.588235,0.895235
-14.5,24,6.000000,0.250000,0.727080
-14.0,60,-21.000000,-0.350000,0.457393
-13.5,87,9.000000,0.103448,0.365577
-13.0,151,60.000000,0.397351,0.296254
-12.5,275,-55.500000,-0.201818,0.215853
-12.0,375,-63.000000,-0.168000,0.178496
-11.5,640,-43.500000,-0.067969,0.138810
-11.0,1100,-112.500000,-0.102273,0.105361
-10.5,1616,-153.000000,-0.094678,0.086616
-10.0,2270,-286.500000,-0.126211,0.074265
-9.5,3809,-282.000000,-0.074035,0.057074
-9.0,6826,-1317.000000,-0.192939,0.042124
-8.5,9580,-1699.500000,-0.177401,0.035569
-8.0,16385,-2065.500000,-0.126060,0.026934
-7.5,25696,-3627.000000,-0.141150,0.021592
-7.0,38415,-3552.000000,-0.092464,0.017623
-6.5,60006,-4878.000000,-0.081292,0.014115
-6.0,91003,-10081.500000,-0.110782,0.011453
-5.5,141288,-13047.000000,-0.092343,0.009147
-5.0,213399,-18130.500000,-0.084961,0.007440
-4.5,343957,-25179.000000,-0.073204,0.005857
-4.0,571246,-38038.500000,-0.066589,0.004533
-3.5,811059,-46030.500000,-0.056754,0.003801
-3.0,1028260,-62434.500000,-0.060719,0.003374
-2.5,1812939,-89863.500000,-0.049568,0.002537
-2.0,2114096,-118002.000000,-0.055817,0.002348
-1.5,3246983,-154002.000000,-0.047429,0.001893
-1.0,4362427,-175134.000000,-0.040146,0.001631
-0.5,5455427,-231547.500000,-0.042444,0.001460
0.0,58525092,-910194.000000,-0.015552,0.000443
0.5,8084742,-291955.500000,-0.036112,0.001198
1.0,8724428,-255733.500000,-0.029312,0.001151
1.5,8289729,-241885.500000,-0.029179,0.001181
2.0,9861328,-286438.500000,-0.029047,0.001083
2.5,8486654,-368988.000000,-0.043479,0.002004
3.0,10001694,-524895.000000,-0.052481,0.002148
3.5,9865330,-643597.500000,-0.065238,0.002796
4.0,10195148,-726097.500000,-0.071220,0.003190
4.5,8902040,-852519.000000,-0.095767,0.003975
5.0,8750497,-753648.000000,-0.086126,0.004590
5.5,10094061,-971403.000000,-0.096235,0.004824
6.0,9344762,-1001685.000000,-0.107192,0.005551
6.5,8703386,-1100103.000000,-0.126399,0.006428
7.0,8503164,-1124127.000000,-0.132201,0.006987
7.5,8573565,-1155750.000000,-0.134804,0.007578
8.0,8355715,-1318905.000000,-0.157845,0.008217
8.5,7615033,-1316908.500000,-0.172935,0.009131
9.0,8459577,-1300668.000000,-0.153751,0.009328
9.5,7893283,-1493439.000000,-0.189204,0.010318
10.0,7513332,-1474645.500000,-0.196271,0.011148
10.5,7367901,-1544149.500000,-0.209578,0.011954
11.0,7396105,-1268925.000000,-0.171567,0.012469
11.5,7358918,-1610985.000000,-0.218916,0.013031
12.0,7340797,-1261969.500000,-0.171912,0.013763
12.5,6615682,-1098990.000000,-0.166119,0.015224
13.0,6965098,-1828170.000000,-0.262476,0.015438
13.5,6617262,-1335291.000000,-0.201789,0.016513
14.0,6619746,-1561306.500000,-0.235856,0.017121
14.5,6160104,-1781115.000000,-0.289137,0.018474
15.0,6228403,-1220898.000000,-0.196021,0.019005
15.5,6280584,-1364482.500000,-0.217254,0.019637
