TrueCount,HandsPlayed,TotalPayout,EV,StdError
-68.5,1,-2.000000,-2.000000,0.000000
-68.0,1,2.000000,2.000000,0.000000
-66.5,1,-2.000000,-2.000000,0.000000
-66.0,1,1.000000,1.000000,0.000000
-65.0,2,-2.000000,-1.000000,0.000000
-64.0,1,-2.000000,-2.000000,0.000000
-63.5,3,-1.000000,-0.333333,0.544331
-63.0,1,-1.000000,-1.000000,0.000000
-62.0,1,-1.000000,-1.000000,0.000000
-61.5,6,-4.000000,-0.666667,0.509175
-61.0,2,0.000000,0.000000,0.707107
-60.5,2,1.000000,0.500000,1.060660
-60.0,13,-8.000000,-0.615385,0.335978
-59.5,5,3.000000,0.600000,0.606630
-59.0,1,-2.000000,-2.000000,0.000000
-58.5,24,0.000000,0.000000,0.250000
-58.0,16,-17.000000,-1.062500,0.285984
-57.5,1,0.000000,0.000000,0.000000
-57.0,34,-17.000000,-0.500000,0.221078
-56.5,36,-17.000000,-0.472222,0.220431
-56.0,7,-2.000000,-0.285714,0.438657
-55.0,121,-44.500000,-0.367769,0.114481
-54.5,10,-8.000000,-0.800000,0.368782
-53.5,260,-68.500000,-0.263462,0.082285
-52.0,452,-127.500000,-0.282080,0.060882
-51.0,14,-7.000000,-0.500000,0.298807
-50.5,727,-185.500000,-0.255158,0.045640
-49.5,100,-18.500000,-0.185000,0.129741
-49.0,1164,-287.000000,-0.246564,0.036749
-48.5,24,-5.000000,-0.208333,0.256710
-48.0,246,-27.500000,-0.111789,0.078842
-47.5,1154,-190.500000,-0.165078,0.037360
-47.0,756,-181.000000,-0.239418,0.045719
-46.5,318,-101.500000,-0.319182,0.070762
-46.0,1162,-219.500000,-0.188898,0.036853
-45.5,2018,-467.000000,-0.231417,0.027232
-45.0,882,-240.500000,-0.272676,0.040835
-44.5,1601,-305.500000,-0.190818,0.031358
-44.0,3578,-821.000000,-0.229458,0.020616
-43.5,1219,-144.500000,-0.118540,0.035171
-43.0,2603,-601.500000,-0.231080,0.023935
-42.5,5185,-979.500000,-0.188910,0.017228
-42.0,2146,-299.000000,-0.139329,0.026302
-41.5,4402,-721.000000,-0.163789,0.018644
-41.0,5197,-988.000000,-0.190110,0.016938
-40.5,6466,-1117.500000,-0.172827,0.015239
-40.0,6555,-1186.500000,-0.181007,0.015136
-39.5,8201,-1549.500000,-0.188940,0.013580
-39.0,9268,-1616.000000,-0.174363,0.012790
-38.5,7491,-1170.500000,-0.156254,0.014077
-38.0,14776,-2525.000000,-0.170885,0.010047
-37.5,16305,-2376.500000,-0.145753,0.009539
-37.0,10708,-1788.500000,-0.167025,0.011721
-36.5,14355,-2413.000000,-0.168095,0.010147
-36.0,31719,-4952.000000,-0.156121,0.006805
-35.5,14999,-2048.000000,-0.136542,0.009970
-35.0,20312,-3153.500000,-0.155253,0.008471
-34.5,30644,-4446.500000,-0.145102,0.006915
-34.0,42945,-5791.500000,-0.134859,0.005838
-33.5,33507,-4228.000000,-0.126183,0.006616
-33.0,46074,-6173.500000,-0.133991,0.005624
-32.5,61556,-7031.500000,-0.114229,0.004863
-32.0,53806,-6407.500000,-0.119085,0.005215
-31.5,52319,-6177.500000,-0.118074,0.005271
-31.0,90064,-11459.000000,-0.127232,0.004004
-30.5,79291,-9606.500000,-0.121155,0.004258
-30.0,78812,-8798.000000,-0.111633,0.004276
-29.5,94060,-10707.000000,-0.113832,0.003909
-29.0,141187,-15000.000000,-0.106242,0.003186
-28.5,120752,-13215.500000,-0.109443,0.003442
-28.0,128251,-13450.000000,-0.104872,0.003336
-27.5,216221,-21097.500000,-0.097574,0.002571
-27.0,119383,-11849.000000,-0.099252,0.003445
-26.5,197661,-19279.500000,-0.097538,0.002678
-26.0,324460,-29278.000000,-0.090236,0.002087
-25.5,262303,-24321.000000,-0.092721,0.002320
-25.0,193474,-17218.500000,-0.088996,0.002691
-24.5,397902,-33642.000000,-0.084548,0.001878
-24.0,322064,-27184.000000,-0.084406,0.002085
-23.5,366589,-29679.500000,-0.080961,0.001952
-23.0,520919,-40991.000000,-0.078690,0.001634
-22.5,458492,-35586.500000,-0.077616,0.001740
-22.0,468603,-34905.000000,-0.074487,0.001720
-21.5,588015,-41389.000000,-0.070388,0.001534
-21.0,766324,-53183.500000,-0.069401,0.001342
-20.5,610455,-41997.000000,-0.068796,0.001503
-20.0,789431,-52300.000000,-0.066250,0.001320
-19.5,943200,-61409.500000,-0.065108,0.001206
-19.0,1001808,-63028.500000,-0.062915,0.001168
-18.5,1000254,-61828.500000,-0.061813,0.001168
-18.0,1284740,-72769.000000,-0.056641,0.001029
-17.5,1511152,-83772.500000,-0.055436,0.000948
-17.0,1151979,-62017.500000,-0.053836,0.001085
-16.5,1722761,-89367.000000,-0.051874,0.000886
