TrueCount,HandsPlayed,TotalPayout,EV,StdError
-9.0,2,-9.000000,-4.500000,1.060660
-8.5,3,7.500000,2.500000,2.273030
-8.0,2,-3.000000,-1.500000,1.060660
-7.5,27,3.000000,0.111111,0.618271
-7.0,65,22.500000,0.346154,0.455463
-6.5,167,-67.500000,-0.404192,0.272272
-6.0,542,-160.500000,-0.296125,0.153139
-5.5,1652,-463.500000,-0.280569,0.087578
-5.0,4452,-936.000000,-0.210243,0.052884
-4.5,10625,-1785.000000,-0.168000,0.034310
-4.0,30182,-4248.000000,-0.140746,0.020236
-3.5,78946,-12468.000000,-0.157931,0.012407
-3.0,190162,-24054.000000,-0.126492,0.007983
-2.5,482833,-51169.500000,-0.105978,0.004983
-2.0,1184863,-107152.500000,-0.090435,0.003167
-1.5,3205345,-212277.000000,-0.066226,0.001914
-1.0,8053021,-439510.500000,-0.054577,0.001203
-0.5,16146181,-721366.500000,-0.044677,0.000847
0.0,62714946,-1061956.500000,-0.016933,0.000427
0.5,28061442,-942195.000000,-0.033576,0.000641
1.0,29382668,-789801.000000,-0.026880,0.000625
1.5,27155362,-626599.500000,-0.023075,0.000649
2.0,26443471,-558004.500000,-0.021102,0.000658
2.5,23288630,-609637.500000,-0.026177,0.001114
3.0,21751460,-786705.000000,-0.036168,0.001453
3.5,20935112,-733656.000000,-0.035044,0.001861
4.0,19289039,-620379.000000,-0.032162,0.002311
4.5,16841935,-564870.000000,-0.033539,0.002890
5.0,15830143,-217056.000000,-0.013712,0.003395
5.5,14665934,-39364.500000,-0.002684,0.003957
6.0,12980594,138037.500000,0.010634,0.004679
6.5,10676382,467401.500000,0.043779,0.005740
7.0,9999215,691668.000000,0.069172,0.006377
7.5,8540736,929863.500000,0.108874,0.007410
8.0,7013785,1084681.500000,0.154650,0.008857
8.5,6360698,1171650.000000,0.184201,0.009963
9.0,5140068,1234224.000000,0.240118,0.011786
9.5,3881313,1273717.500000,0.328167,0.014196
10.0,3564760,1294623.000000,0.363173,0.015874
10.5,2658131,1056519.000000,0.397467,0.019351
11.0,1928597,906600.000000,0.470083,0.023882
11.5,1411771,856488.000000,0.606676,0.029219
12.0,1229941,910816.500000,0.740537,0.032791
12.5,682883,497631.000000,0.728721,0.045493
13.0,718769,614052.000000,0.854311,0.046658
13.5,323761,367068.000000,1.133762,0.072636
14.0,300527,352540.500000,1.173074,0.077924
14.5,155918,175381.500000,1.124832,0.111222
15.0,108647,168084.000000,1.547065,0.139109
15.5,84027,117531.000000,1.398729,0.162433
16.0,39166,66105.000000,1.687816,0.247312
16.5,27979,43654.500000,1.560259,0.302385
17.0,13868,21576.000000,1.555812,0.441879
17.5,10067,21594.000000,2.145028,0.529488
18.0,3472,10480.500000,3.018577,0.923897
18.5,2352,4923.000000,2.093112,1.165330
19.0,1017,4077.000000,4.008850,1.803470
19.5,524,2256.000000,4.305344,2.613989
20.0,368,285.000000,0.810739,3.215570
20.5,120,1704.000000,14.474218,5.447488
21.0,47,210.000000,4.529856,9.863301
21.5,14,271.500000,19.392857,20.521404
22.0,11,-378.000000,-34.363636,18.758259
22.5,6,255.000000,42.500000,19.266768
23.0,1,33.000000,66.000000,0.000000
